date,baseline,overlay,scalar
2008-04-14,250914.5886251998,246469.1112976088,1.0
2008-04-15,251337.67114090128,246877.19140160392,0.9819372982052891
2008-04-16,251794.13165998925,247305.94805046398,0.9562782248626667
2008-04-17,251479.33197481208,247005.898362709,0.9704427773890076
2008-04-18,252779.9408101219,248179.9829024244,0.9190679961223006
2008-04-21,252722.7949768428,248126.37371233886,0.9554996531821245
2008-04-22,252465.92391981848,247893.9516195344,0.9215814447541033
2008-04-23,252791.70045871584,248195.24833553255,0.9419143881266892
2008-04-24,254857.026845184,250223.02137734214,1.0
2008-04-25,255560.139401252,250889.06967897958,0.9648287146913151
2008-04-28,254999.04370434556,250338.22956076884,1.0
2008-04-29,252509.81520675545,247894.49861179545,1.0
2008-04-30,253441.0642039973,248808.72645305772,1.0
2008-05-01,252520.21803352796,247904.71129808176,1.0
2008-05-02,253053.9997225583,248428.73664759932,1.0
2008-05-05,253719.2459954498,249081.82370141058,1.0
2008-05-06,255014.4998281034,250353.403181035,1.0
2008-05-07,254204.8629615784,249573.52996712757,0.9811719045458687
2008-05-08,256285.8577617161,251606.46785667393,0.9950352078627693
2008-05-09,256679.98950494843,251977.45966900027,0.958794980200526
2008-05-12,258024.83519022795,253297.6669826951,1.0
2008-05-13,256754.772412458,252050.87250923476,1.0
2008-05-14,257739.6345551008,253017.69139256855,1.0
2008-05-15,257980.9968345161,253254.63177169306,1.0
2008-05-16,258293.3166948596,253561.2297467254,1.0
2008-05-19,257736.86832272357,253014.9758392112,1.0
2008-05-20,258010.2070462654,253283.30683501682,1.0
2008-05-21,255338.1864221489,250719.47155166895,0.9774186773809754
2008-05-22,256601.59152654288,251960.02340397058,1.0
2008-05-23,255514.65275835755,250892.74585576283,1.0
2008-05-27,257200.67219559636,252548.26753175483,1.0
2008-05-28,259321.8859400394,254631.11145144815,1.0
2008-05-29,255690.0760852688,251064.99601715585,1.0
2008-05-30,257222.9263421588,252570.11913156506,1.0
2008-06-02,256571.5795867008,251930.5543386385,1.0
2008-06-03,254451.52142941047,249848.8451031235,1.0
2008-06-04,253365.5931865904,248782.55980127386,1.0
2008-06-05,259865.81636919823,255165.20293095015,1.0
2008-06-06,259377.8630674688,254717.28410364065,0.9348647016748171
2008-06-09,262289.32621047506,257576.43320674475,1.0
2008-06-10,263848.89898454584,259107.98311110167,1.0
2008-06-11,261381.8681308006,256685.28060505775,1.0
2008-06-12,258523.44831088348,253878.2217267605,1.0
2008-06-13,258828.2183281706,254177.51554529043,1.0
2008-06-16,261254.37645125168,256560.07973411042,1.0
2008-06-17,264411.72984436003,259660.70085781356,1.0
2008-06-18,263638.8043321661,258901.66350222687,1.0
2008-06-19,264063.65268384875,259318.8780517521,1.0
2008-06-20,262169.9129225033,257459.16557242032,1.0
2008-06-23,264877.14273364574,260117.75106920672,1.0
2008-06-24,263926.3764150064,259184.0684039361,1.0
2008-06-25,266138.9928008836,261356.92783730742,1.0
2008-06-26,262350.4769745178,257636.48519558305,1.0
2008-06-27,262286.3111635472,257573.47233508123,1.0
2008-06-30,261507.28090324908,256808.4399233288,1.0
2008-07-01,262096.99973843817,257387.56251423803,1.0
2008-07-02,257855.49754870043,253293.23448268723,0.9829635905744578
2008-07-03,256019.3333693988,251584.2046246909,0.9475255832325526
2008-07-07,255676.87023688116,251247.67412258458,1.0
2008-07-08,257467.2129429656,253007.0019818833,1.0
2008-07-09,254355.55501716497,249949.24859262214,1.0
2008-07-10,256607.3384244477,252162.02342510285,1.0
2008-07-11,255619.95302864545,251191.74291467547,1.0
2008-07-14,257372.4193437204,252913.8505313434,1.0
2008-07-15,252944.95038846505,248563.08045101803,1.0
2008-07-16,270740.651383095,266050.4991609675,1.0
2008-07-17,283094.48801050684,278190.32516967884,1.0
2008-07-18,299639.8704318777,294449.08509186783,1.0
2008-07-21,305651.4390378273,300356.5128098066,1.0
2008-07-22,299068.3389790963,293887.4545147015,1.0
2008-07-23,301601.20688174776,296376.4444996436,1.0
2008-07-24,296855.0304608236,291712.4880548238,1.0
2008-07-25,300427.4418158464,295223.01305118744,1.0
2008-07-28,294767.7232362767,289661.34011617454,1.0
2008-07-29,297221.8254363632,292072.92888937716,1.0
2008-07-30,302995.8903363022,297746.9672761834,1.0
2008-07-31,302074.04008158634,296841.08661450254,1.0
2008-08-01,300247.35494666663,295046.0459012864,1.0
2008-08-04,294970.99031168205,289861.08591200656,1.0
2008-08-05,297967.36136237625,292805.5495883558,1.0
2008-08-06,299204.9198825832,294021.6693707378,1.0
2008-08-07,297099.82844651164,291953.0453038117,1.0
2008-08-08,299908.1114460588,294712.6792560754,1.0
2008-08-11,298676.61573824927,293502.5172574855,1.0
2008-08-12,297724.84386825206,292567.23332503374,1.0
2008-08-13,299226.7121239276,294043.084096077,1.0
2008-08-14,301242.14977948274,296023.60749198747,1.0
2008-08-15,302345.1786293631,297107.5281171335,1.0
2008-08-18,300552.204081865,295345.6140088979,1.0
2008-08-19,298624.4587576463,293451.26381381805,1.0
2008-08-20,299398.79493946035,294212.185849861,1.0
2008-08-21,299157.4406716239,293975.01266177685,1.0
2008-08-22,300871.8425861312,295659.71528322314,1.0
2008-08-25,298180.9127106417,293015.40149833786,1.0
2008-08-26,297865.5839088409,292705.53526772064,1.0
2008-08-27,299084.08724235464,293902.9299642855,1.0
2008-08-28,300884.63512648805,295672.28621311527,1.0
2008-08-29,298080.3368064128,292916.5679120738,1.0
2008-09-02,295998.1714322982,290870.4727494563,1.0
2008-09-03,294345.7733472531,289246.6998395034,1.0
2008-09-04,291173.8561581469,286129.73108306475,1.0
2008-09-05,289344.8750925287,284332.4342125067,1.0
