date,portfolio_value,cash,n_positions,leverage,drawdown,regime_score,crash_active,max_positions,above_sma_today
2022-08-19,386536.29147826124,386536.29147826124,0,1.0,-0.07845357156559567,0.0,False,1,False
2022-08-22,386598.7201570833,386598.7201570833,0,1.0,-0.07830473450354293,0.0,False,1,False
2022-08-23,386661.1589186325,386661.1589186325,0,1.0,-0.07815587340312351,0.0,False,1,False
2022-08-24,386723.6077645372,386723.6077645372,0,1.0,-0.07800698826045487,0.0,False,1,False
2022-08-25,386786.0666964262,386786.0666964262,0,1.0,-0.07785807907165404,0.0,False,1,False
2022-08-26,386848.53571592836,386848.53571592836,0,1.0,-0.07770914583283739,0.0,False,1,False
2022-08-29,386911.01482467295,386911.01482467295,0,1.0,-0.07756018854012069,0.0,False,1,False
2022-08-30,386973.5040242895,386973.5040242895,0,1.0,-0.07741120718961905,0.0,False,1,False
2022-08-31,387036.0033164077,387036.0033164077,0,1.0,-0.07726220177744686,0.0,False,1,False
2022-09-01,387106.49915986886,387106.49915986886,0,1.0,-0.07711317229971812,0.0,False,1,False
2022-09-02,387177.0078436444,387177.0078436444,0,1.0,-0.0769450750561013,0.0,False,1,False
2022-09-06,387247.52937007305,387247.52937007305,0,1.0,-0.07677694719477224,0.0,False,1,False
2022-09-07,387318.063741494,387318.063741494,0,1.0,-0.0766087887101542,0.0,False,1,False
2022-09-08,387388.61096024694,387388.61096024694,0,1.0,-0.07644059959666927,0.0,False,1,False
2022-09-09,387459.17102867184,387459.17102867184,0,1.0,-0.07627237984873868,0.0,False,1,False
2022-09-12,387529.7439491092,387529.7439491092,0,1.0,-0.07610412946078254,0.0,False,1,False
2022-09-13,387600.32972389995,387600.32972389995,0,1.0,-0.07593584842722001,0.0,False,1,False
2022-09-14,387670.9283553854,387670.9283553854,0,1.0,-0.07576753674246926,0.0,False,1,False
2022-09-15,387741.53984590725,387741.53984590725,0,1.0,-0.07559919440094735,0.0,False,1,False
2022-09-16,387812.1641978077,387812.1641978077,0,1.0,-0.0754308213970704,0.0,False,1,False
2022-09-19,387882.8014134295,387882.8014134295,0,1.0,-0.0752624177252535,0.0,False,1,False
2022-09-20,387953.4514951155,387953.4514951155,0,1.0,-0.07509398337991054,0.0,False,1,False
2022-09-21,388024.11444520927,388024.11444520927,0,1.0,-0.07492551835545469,0.0,False,1,False
2022-09-22,388094.7902660546,388094.7902660546,0,1.0,-0.07475702264629804,0.0,False,1,False
2022-09-23,388165.47895999596,388165.47895999596,0,1.0,-0.07458849624685152,0.0,False,1,False
2022-09-26,388236.18052937795,388236.18052937795,0,1.0,-0.074419939151525,0.0,False,1,False
2022-09-27,388306.8949765458,388306.8949765458,0,1.0,-0.07425135135472764,0.0,False,1,False
2022-09-28,388377.6223038451,388377.6223038451,0,1.0,-0.0740827328508672,0.0,False,1,False
2022-09-29,388448.3625136219,388448.3625136219,0,1.0,-0.07391408363435073,0.0,False,1,False
2022-09-30,388519.1156082226,388519.1156082226,0,1.0,-0.07374540369958407,0.0,False,1,False
2022-10-03,388589.8815899941,388589.8815899941,0,1.0,-0.07357669304097224,0.0,False,1,False
2022-10-04,388660.66046128375,388660.66046128375,0,1.0,-0.07340795165291894,0.0,False,1,False
2022-10-05,388731.4522244392,388731.4522244392,0,1.0,-0.07323917952982709,0.0,False,1,False
2022-10-06,388802.25688180863,388802.25688180863,0,1.0,-0.07307037666609864,0.0,False,1,False
2022-10-07,388873.07443574065,388873.07443574065,0,1.0,-0.07290154305613426,0.0,False,1,False
2022-10-10,388943.9048885843,388943.9048885843,0,1.0,-0.07273267869433382,0.0,False,1,False
2022-10-11,389014.748242689,389014.748242689,0,1.0,-0.07256378357509607,0.0,False,1,False
2022-10-12,389085.6045004046,389085.6045004046,0,1.0,-0.07239485769281863,0.0,False,1,False
2022-10-13,389156.4736640815,389156.4736640815,0,1.0,-0.07222590104189844,0.0,False,1,False
2022-10-14,389227.3557360703,389227.3557360703,0,1.0,-0.07205691361673107,0.0,False,1,False
2022-10-17,389298.25071872224,389298.25071872224,0,1.0,-0.07188789541171121,0.0,False,1,False
2022-10-18,389369.15861438884,389369.15861438884,0,1.0,-0.07171884642123263,0.0,False,1,False
2022-10-19,389440.0794254222,389440.0794254222,0,1.0,-0.07154976663968798,0.0,False,1,False
2022-10-20,389511.01315417467,389511.01315417467,0,1.0,-0.07138065606146876,0.0,False,1,False
2022-10-21,389581.95980299916,389581.95980299916,0,1.0,-0.07121151468096569,0.0,False,1,False
2022-10-24,389652.919374249,389652.919374249,0,1.0,-0.07104234249256833,0.0,False,1,False
2022-10-25,389723.8918702779,389723.8918702779,0,1.0,-0.07087313949066516,0.0,False,1,False
2022-10-26,389794.87729344,389794.87729344,0,1.0,-0.07070390566964384,0.0,False,1,False
2022-10-27,389865.87564608984,389865.87564608984,0,1.0,-0.07053464102389075,0.0,False,1,False
2022-10-28,389936.8869305825,389936.8869305825,0,1.0,-0.07036534554779159,0.0,False,1,False
2022-10-31,390007.91114927345,390007.91114927345,0,1.0,-0.07019601923573066,0.0,False,1,False
