symbol,year,total_revenue,total_debt,ratio
NKE,2024,51362000000.0,11952000000.0,4.29735609103079
NKE,2023,51217000000.0,12144000000.0,4.217473649538867
NKE,2022,46710000000.0,12627000000.0,3.699215965787598
MCD,2024,25920000000.0,51948000000.0,0.498960498960499
MCD,2023,25495000000.0,53091000000.0,0.48021321881298146
MCD,2022,23182000000.0,48699000000.0,0.4760262017700569
MCD,2021,23222900000.0,49349100000.0,0.47058406333651476
DIS,2025,94425000000.0,44877000000.0,2.1040844976268467
DIS,2024,91361000000.0,48743000000.0,1.8743409310054777
DIS,2023,88898000000.0,49895000000.0,1.7817015733039383
DIS,2022,82722000000.0,51608000000.0,1.6028910246473416
SBUX,2025,37184400000.0,26611500000.0,1.397305676117468
SBUX,2024,36176200000.0,25803100000.0,1.402009836027454
SBUX,2023,35975600000.0,24599800000.0,1.462434653940276
SBUX,2022,32250300000.0,23804800000.0,1.3547813886275037
TGT,2025,106566000000.0,19875000000.0,5.361811320754717
TGT,2024,107412000000.0,19646000000.0,5.467372493128372
TGT,2023,109120000000.0,19073000000.0,5.721176532270749
TGT,2022,106005000000.0,16467000000.0,6.437420295135726
LOW,2025,83674000000.0,39678000000.0,2.1088260497000855
LOW,2024,86377000000.0,40145000000.0,2.151625358076971
LOW,2023,97059000000.0,37994000000.0,2.5545875664578617
LOW,2022,96250000000.0,29384000000.0,3.2755921589980943
CL,2024,20101000000.0,8512000000.0,2.361489661654135
CL,2023,19457000000.0,9064000000.0,2.1466240070609004
CL,2022,17967000000.0,9271000000.0,1.9379786430805739
CL,2021,17421000000.0,7833000000.0,2.224052087322865
KMB,2025,16447000000.0,7296000000.0,2.254248903508772
KMB,2024,16805000000.0,7534000000.0,2.2305548181576853
KMB,2023,17146000000.0,8114000000.0,2.1131377865417798
KMB,2022,20175000000.0,8549000000.0,2.3599251374429757
GIS,2025,19486600000.0,15296700000.0,1.273908751560794
GIS,2024,19857200000.0,13315100000.0,1.4913293929448521
GIS,2023,20094200000.0,12064800000.0,1.6655228433127776
GIS,2022,18992800000.0,11975400000.0,1.5859846017669557
EL,2025,14326000000.0,9467000000.0,1.5132565754726945
EL,2024,15608000000.0,9826000000.0,1.5884388357419092
EL,2023,15910000000.0,10169000000.0,1.5645589536827613
EL,2022,17737000000.0,7645000000.0,2.3200784826684107
MO,2024,20444000000.0,24926000000.0,0.8201877557570408
MO,2023,20502000000.0,26233000000.0,0.7815347081919719
MO,2022,20688000000.0,26680000000.0,0.7754122938530734
MO,2021,21111000000.0,28044000000.0,0.7527813436029097
PM,2025,40648000000.0,48835000000.0,0.8323538445786833
PM,2024,37878000000.0,45695000000.0,0.8289309552467448
PM,2023,35174000000.0,47909000000.0,0.7341835563255338
PM,2022,31762000000.0,43123000000.0,0.7365443035039306
XOM,2024,339247000000.0,41710000000.0,8.133469192040279
XOM,2023,334697000000.0,41573000000.0,8.050826257426696
XOM,2022,398675000000.0,41193000000.0,9.678222028014469
XOM,2021,276692000000.0,47704000000.0,5.800184470903908
CVX,2024,193414000000.0,24541000000.0,7.881259932358095
CVX,2023,196913000000.0,20836000000.0,9.450614321366865
CVX,2022,235717000000.0,23339000000.0,10.099704357513176
CVX,2021,155606000000.0,31369000000.0,4.960502406834773
COP,2024,54745000000.0,24324000000.0,2.250657786548265
COP,2023,56141000000.0,18937000000.0,2.9646195279083276
COP,2022,78494000000.0,16643000000.0,4.716337198822328
COP,2021,45828000000.0,19934000000.0,2.2989866559646837
SLB,2025,35708000000.0,11636000000.0,3.068752148504641
SLB,2024,36289000000.0,12074000000.0,3.005549113798244
SLB,2023,33135000000.0,11965000000.0,2.769327204346009
SLB,2022,28091000000.0,12226000000.0,2.297644364469164
EOG,2024,23378000000.0,5067000000.0,4.613775409512532
EOG,2023,23182000000.0,4124000000.0,5.621241513094083
EOG,2022,29492000000.0,5374000000.0,5.487904726460737
EOG,2021,19669000000.0,5349000000.0,3.677135913254814
OXY,2024,26725000000.0,27104000000.0,0.9860168240850059
OXY,2023,28257000000.0,20911000000.0,1.3512983597149826
OXY,2022,36634000000.0,20765000000.0,1.7642186371297857
OXY,2021,25956000000.0,30388000000.0,0.8541529551138607
MPC,2024,138864000000.0,28758000000.0,4.8287085332776964
MPC,2023,148379000000.0,28501000000.0,5.206098031648012
MPC,2022,177453000000.0,27909000000.0,6.358271525314414
MPC,2021,119983000000.0,26904000000.0,4.4596714243235205
PSX,2024,143153000000.0,20062000000.0,7.13552985744193
PSX,2023,147399000000.0,19359000000.0,7.613977994731133
PSX,2022,169990000000.0,17190000000.0,9.88888888888889
PSX,2021,111476000000.0,14448000000.0,7.715669988925803
VLO,2024,129881000000.0,11540000000.0,11.254852686308492
VLO,2023,144766000000.0,12637000000.0,11.45572525124634
VLO,2022,176383000000.0,12722000000.0,13.864408111932086
VLO,2021,113977000000.0,15125000000.0,7.535669421487603
GE,2025,45855000000.0,20495000000.0,2.2373749695047573
GE,2024,38702000000.0,19273000000.0,2.0080942250817206
GE,2023,35348000000.0,20525000000.0,1.722192448233861
GE,2022,29139000000.0,26148000000.0,1.114387333639284
CAT,2025,67589000000.0,43330000000.0,1.5598661435495038
CAT,2024,64809000000.0,38409000000.0,1.6873389049441536
CAT,2023,67060000000.0,37878000000.0,1.7704208247531548
CAT,2022,59427000000.0,36993000000.0,1.6064390560376287
BA,2025,89463000000.0,54433000000.0,1.6435434387228336
BA,2024,66517000000.0,54188000000.0,1.2275226987524914
BA,2023,77794000000.0,52603000000.0,1.4788890367469536
BA,2022,66608000000.0,57277000000.0,1.1629100686139289
HON,2024,38498000000.0,32225000000.0,1.1946625290923196
HON,2023,36662000000.0,21536000000.0,1.7023588410104011
HON,2022,35466000000.0,20537000000.0,1.7269318790475727
