date,value,positions,exposure,cash
2015-09-11,960194.0760387438,0,0.0,960194.0760387438
2015-09-14,960308.3848573199,0,0.0,960308.3848573199
2015-09-15,960422.7072840886,0,0.0,960422.7072840886
2015-09-16,960537.04332067,0,0.0,960537.04332067
2015-09-17,960651.3929686844,0,0.0,960651.3929686844
2015-09-18,960765.7562297521,0,0.0,960765.7562297521
2015-09-21,960880.1331054937,0,0.0,960880.1331054937
2015-09-22,960994.5235975301,0,0.0,960994.5235975301
2015-09-23,961108.9277074821,0,0.0,961108.9277074821
2015-09-24,961223.3454369712,0,0.0,961223.3454369712
2015-09-25,961337.7767876184,0,0.0,961337.7767876184
2015-09-28,961452.2217610455,0,0.0,961452.2217610455
2015-09-29,962864.761844901,2,0.3996911272591864,578016.2597849645
2015-09-30,976978.1784908617,2,0.4082927500617968,578085.0712444627
2015-10-01,978575.1221396024,1,0.2031264538486895,779800.6277548368
2015-10-02,987808.8142871276,2,0.4087059092363276,584085.5146922484
2015-10-05,986618.9386205082,1,0.2035492835901001,785793.3604878788
2015-10-06,982886.0796836043,1,0.2004293034962006,785886.9073165084
2015-10-07,975228.8942005036,1,0.19405539565558616,785980.4652816651
2015-10-08,971047.3283814858,1,0.19048844334407383,786074.0343846749
2015-10-09,971048.421976676,0,0.0,971048.421976676
2015-10-12,971164.0229792922,0,0.0,971164.0229792922
2015-10-13,971622.6134888513,1,0.20034921687642224,776958.7837769373
2015-10-14,970810.6006170702,1,0.19958509066924915,777051.278870244
2015-10-15,972394.5246751888,1,0.20079374651511683,777143.7849748714
2015-10-16,972383.8548884512,2,0.400790012373165,582662.1176562429
2015-10-19,974566.9012213877,2,0.4020610781427689,582731.4821940592
2015-10-20,963427.5746589005,2,0.39507559227179284,582800.8549895585
2015-10-21,959608.3904893721,2,0.392595727777581,582870.2360437239
2015-10-22,958373.1859540046,2,0.39174046822140984,582939.6253575386
2015-10-23,963581.2025304891,1,0.1997309058304168,771124.2561079122
2015-10-26,969444.4067065258,1,0.20447624301157344,771216.0566145916
2015-10-27,969593.937132163,1,0.20450423779334362,771307.8680499028
2015-10-28,969586.6164628658,0,0.0,969586.6164628658
2015-10-29,969702.0434410162,0,0.0,969702.0434410162
2015-10-30,969817.4841604735,0,0.0,969817.4841604735
2015-11-02,971883.5386910269,1,0.20167433525806583,775879.5720772573
2015-11-03,973869.9441403685,1,0.20320783759485622,775971.9386929808
2015-11-04,974986.0804191098,1,0.20402523493347813,776064.3163047299
2015-11-05,978047.4666478226,1,0.2064222531304874,776156.7049138139
2015-11-06,978038.9208746835,0,0.0,978038.9208746835
2015-11-09,978155.3540795496,0,0.0,978155.3540795496
2015-11-10,980015.1763273962,1,0.20064693400174693,783378.1359221227
2015-11-11,981005.7722992136,1,0.20135903646339193,783471.3952240183
2015-11-12,978785.8414094616,1,0.19945239042294433,783564.6656282116
2015-11-13,976463.3994065323,1,0.19745282044128812,783657.9471360245
2015-11-16,986378.8040435509,2,0.4035084359387554,588366.6355807976
2015-11-17,985143.5262266517,1,0.18983752110961716,798126.321270597
2015-11-18,988166.8205617733,1,0.19222005869914313,798221.3363088436
2015-11-19,989175.5517453182,1,0.19294774193535097,798316.3626584042
2015-11-20,989175.1598129959,0,0.0,989175.1598129959
2015-11-23,989292.9187605927,0,0.0,989292.9187605927
2015-11-24,989410.6917271118,0,0.0,989410.6917271118
2015-11-25,989528.4787142222,0,0.0,989528.4787142222
2015-11-27,989646.2797235929,0,0.0,989646.2797235929
2015-11-30,989764.0947568933,0,0.0,989764.0947568933
2015-12-01,989881.923815793,0,0.0,989881.923815793
2015-12-02,989999.7669019615,0,0.0,989999.7669019615
2015-12-03,990117.6240170689,0,0.0,990117.6240170689
2015-12-04,990235.4951627852,0,0.0,990235.4951627852
2015-12-07,990353.3803407807,0,0.0,990353.3803407807
2015-12-08,990471.2795527261,0,0.0,990471.2795527261
2015-12-09,990589.1928002919,0,0.0,990589.1928002919
2015-12-10,990707.1200851491,0,0.0,990707.1200851491
2015-12-11,990825.0614089688,0,0.0,990825.0614089688
2015-12-14,993776.9849348598,1,0.20235582483077766,792680.4234505229
2015-12-15,990421.6844461267,1,0.19955832690502565,792774.7901676004
2015-12-16,997248.72710166,1,0.20494341424415233,792869.1681188109
2015-12-17,997126.4790441162,1,0.20475127882908395,792963.5573054916
2015-12-18,989738.2884918435,1,0.19871953328446382,793057.9577289803
2015-12-21,987516.2661706288,1,0.19682095722201573,793152.3693906148
2015-12-22,986960.7455531082,1,0.19627320958222622,793246.7922917327
2015-12-23,990254.8661793845,1,0.19885147396997632,793341.2264336722
2015-12-24,990250.854743611,0,0.0,990250.854743611
2015-12-28,990368.7417501281,0,0.0,990368.7417501281
2015-12-29,990486.6427908126,0,0.0,990486.6427908126
2015-12-30,990604.5578673354,0,0.0,990604.5578673354
2015-12-31,990722.4869813672,0,0.0,990722.4869813672
2016-01-04,990840.4301345793,0,0.0,990840.4301345793
2016-01-05,990958.387328643,0,0.0,990958.387328643
2016-01-06,1009423.0782515848,1,0.21461477373249443,792785.9727122629
2016-01-07,994900.3063141413,2,0.3914506863522283,605445.8985554285
2016-01-08,993400.9542517483,2,0.3904596398297168,605517.9754481136
2016-01-11,996641.8959376318,2,0.3923694524685344,605590.0609213812
2016-01-12,999609.2886260789,2,0.394101113437321,605662.1549762528
2016-01-13,978156.719675632,2,0.3807390519030341,605734.25761375
2016-01-14,982526.9857372043,2,0.4029480688110981,586619.6342796085
2016-01-15,969380.6283651968,2,0.39477904469808395,586689.469950356
2016-01-19,977963.9500699752,2,0.4000194854903495,586759.3139348739
2016-01-20,976847.3290568752,2,0.3992621479543558,586829.1662341518
2016-01-21,968114.870852857,2,0.3937712925201188,586899.0268491796
2016-01-22,972373.6211589839,2,0.39635456679570136,586968.8957809474
2016-01-25,972401.4754726114,1,0.20624545586186577,771848.0898830118
2016-01-26,974080.2265603788,1,0.20751909800467574,771939.9765603788
2016-01-27,974071.054051636,0,0.0,974071.054051636
2016-01-28,974187.0148914041,0,0.0,974187.0148914041
2016-01-29,974302.9895360341,0,0.0,974302.9895360341
2016-02-01,974418.9779871693,0,0.0,974418.9779871693
2016-02-02,974534.9802464534,0,0.0,974534.9802464534
2016-02-03,974650.9963155304,0,0.0,974650.9963155304
2016-02-04,974767.0261960442,0,0.0,974767.0261960442
2016-02-05,974883.0698896389,0,0.0,974883.0698896389
2016-02-08,962962.9202969678,2,0.3926353299622951,584869.6563447126
2016-02-09,964519.0043039552,2,0.39354301877454995,584939.2836847536
2016-02-10,965817.3128913393,2,0.39428615380434695,585008.9193137636
2016-02-11,964850.1900161005,2,0.39360683214150965,585078.5632327296
2016-02-12,971240.1520023154,2,0.39752468610745484,585148.2154426383
2016-02-16,984323.9640735203,2,0.4054621269987021,585217.8759444767
2016-02-17,994542.7181725358,2,0.41150084954149274,585287.5447392319
2016-02-18,994407.7676744787,0,0.0,994407.7676744787
2016-02-19,994526.1495515828,0,0.0,994526.1495515828
2016-02-22,994644.5455217675,0,0.0,994644.5455217675
2016-02-23,994762.9555867105,0,0.0,994762.9555867105
2016-02-24,994881.3797480898,0,0.0,994881.3797480898
2016-02-25,994999.8180075836,0,0.0,994999.8180075836
2016-02-26,995118.2703668702,0,0.0,995118.2703668702
2016-02-29,995236.7368276282,0,0.0,995236.7368276282
2016-03-01,995355.2173915362,0,0.0,995355.2173915362
2016-03-02,995473.7120602733,0,0.0,995473.7120602733
2016-03-03,995592.2208355186,0,0.0,995592.2208355186
2016-03-04,995710.7437189514,0,0.0,995710.7437189514
2016-03-07,995829.2807122512,0,0.0,995829.2807122512
2016-03-08,995947.8318170978,0,0.0,995947.8318170978
2016-03-09,996066.3970351713,0,0.0,996066.3970351713
2016-03-10,996184.9763681516,0,0.0,996184.9763681516
2016-03-11,996303.5698177193,0,0.0,996303.5698177193
2016-03-14,996422.1773855548,0,0.0,996422.1773855548
2016-03-15,996540.7990733387,0,0.0,996540.7990733387
2016-03-16,996659.4348827522,0,0.0,996659.4348827522
2016-03-17,996778.0848154764,0,0.0,996778.0848154764
2016-03-18,996896.7488731926,0,0.0,996896.7488731926
2016-03-21,997015.4270575823,0,0.0,997015.4270575823
2016-03-22,997134.1193703272,0,0.0,997134.1193703272
