symbol,entry_date,exit_date,exit_reason,pnl,return,days_held
NFLX,2018-03-01 00:00:00-05:00,2018-03-13 00:00:00-04:00,hold_expired,15367.032448105585,0.08774406230256308,8
BAC,2018-03-01 00:00:00-05:00,2018-03-13 00:00:00-04:00,hold_expired,2933.3847006048627,0.02791614667419099,8
MU,2018-03-05 00:00:00-05:00,2018-03-15 00:00:00-04:00,hold_expired,14333.896324213216,0.13086643192341857,8
AMZN,2018-03-06 00:00:00-05:00,2018-03-16 00:00:00-04:00,hold_expired,2392.7864613134834,0.02212475957812374,8
BA,2018-03-09 00:00:00-05:00,2018-03-21 00:00:00-04:00,hold_expired,-8446.010802127825,-0.04913986817471206,8
CSCO,2018-03-09 00:00:00-05:00,2018-03-21 00:00:00-04:00,hold_expired,-2412.264338542868,-0.02339143435698854,8
NVDA,2018-03-12 00:00:00-04:00,2018-03-22 00:00:00-04:00,hold_expired,-3387.2853117082086,-0.031831953832127016,8
LDG,2018-03-13 00:00:00-04:00,2018-03-23 00:00:00-04:00,hold_expired,-16623.19268164869,-0.07842969699961827,8
NFLX,2018-03-13 00:00:00-04:00,2018-03-23 00:00:00-04:00,hold_expired,-8658.507924660917,-0.047328083837357524,8
PYPL,2018-03-13 00:00:00-04:00,2018-03-23 00:00:00-04:00,hold_expired,-5147.478555482712,-0.046895192658010135,8
MU,2018-03-15 00:00:00-04:00,2018-03-27 00:00:00-04:00,hold_expired,-12634.972538914762,-0.10946672346518257,8
AMZN,2018-03-16 00:00:00-04:00,2018-03-28 00:00:00-04:00,hold_expired,-10128.59977342741,-0.0892548167689013,8
BA,2018-03-21 00:00:00-04:00,2018-04-03 00:00:00-04:00,hold_expired,-3237.8177645923597,-0.01863241228149364,8
INTC,2018-03-21 00:00:00-04:00,2018-04-03 00:00:00-04:00,hold_expired,-3662.538044194287,-0.035127599676743,8
NVDA,2018-03-22 00:00:00-04:00,2018-04-04 00:00:00-04:00,hold_expired,-6715.45776497701,-0.06471126992812906,8
NFLX,2018-03-23 00:00:00-04:00,2018-04-05 00:00:00-04:00,hold_expired,-4348.356627100036,-0.02319400899598762,8
LDG,2018-03-23 00:00:00-04:00,2018-04-05 00:00:00-04:00,hold_expired,10543.227699665988,0.059577408247215545,8
