date,compass_value,nightshift_value,combined_value,compass_dd,nightshift_dd,combined_dd
2021-07-13,2016702.935476148,35568.21510878555,2052271.1505849336,-0.05030067739400141,-0.3271355254404114,-0.04931262176828139
2021-07-14,2012411.5953478543,35478.50758326257,2047890.102931117,-0.05232154161808717,-0.32883257452877435,-0.051342083960315844
2021-07-15,1994864.1987371063,35558.65257685899,2030422.8513139654,-0.0605849057366065,-0.327316425381568,-0.0594335564931196
2021-07-16,1978123.4350106583,35146.49532759497,2013269.9303382533,-0.06846841286660478,-0.33511344218754946,-0.06737941952723564
2021-07-19,1983239.1287723128,35347.83315550334,2018586.961927816,-0.06605934665529593,-0.33130461817514995,-0.06491637519685271
2021-07-20,1991625.0871434617,35006.654337946435,2026631.741481408,-0.06211025785080036,-0.3377588949811171,-0.06118973781753924
2021-07-21,2016984.428856856,35007.97350482763,2051992.4023616835,-0.050168117427794354,-0.337733939539084,-0.04944174818389796
2021-07-22,2033837.8994174772,35143.661675434756,2068981.561092912,-0.04223153475445028,-0.3351670480225916,-0.04157174583652264
2021-07-23,2063887.326821006,35070.300039215705,2098957.6268602214,-0.028080754117493712,-0.3365548724792417,-0.027685731132324053
2021-07-26,2060615.9451763127,35264.11632111333,2095880.0614974261,-0.029621302741338156,-0.3328883378982605,-0.02911137244938816
2021-07-27,2055384.0919465136,35325.58715269817,2090709.6790992117,-0.03208507039938496,-0.3317254586627248,-0.03150648348781645
2021-07-28,2060363.4221892871,35334.87233950144,2095698.2945287887,-0.029740220062031197,-0.3315498054195002,-0.029195573585682373
2021-07-29,2069194.6896828364,35031.10112650759,2104225.790809344,-0.02558142770405017,-0.337296420957904,-0.025245324087933844
2021-07-30,2070396.9281992756,35168.52745335539,2105565.455652631,-0.025015273371357838,-0.3346966477355963,-0.024624742125744985
2021-08-02,2074571.3656192685,35142.089446960235,2109713.4550662288,-0.02304946059829697,-0.3351967907769907,-0.022703236438596335
2021-08-03,2084486.39614567,35059.01282400536,2119545.408969675,-0.01838030600497652,-0.33676839925050417,-0.01814871425633084
2021-08-04,2101314.000453009,35134.483349964685,2136448.4838029733,-0.01045590418523688,-0.33534067970823755,-0.010318589132395528
2021-08-05,2123325.733101851,35085.22702066116,2158410.960122512,-9.020915982947088e-05,-0.3362724901472541,-0.00014476340486063385
2021-08-06,2110836.7628365257,35085.68564619114,2145922.448482717,-0.005971475256278827,-0.336263814063135,-0.005929900707730843
