date,value,cash,positions,drawdown,leverage,in_protection,universe_size
2024-05-22,558587.7761946999,109704.65253965746,4,-0.12245602511430875,2.0,False,40
2024-05-23,550911.5744704753,49558.156901424576,4,-0.13451537345699877,2.0,False,40
2024-05-24,550222.5535317039,94058.42446141626,4,-0.13559782853238195,2.0,False,40
2024-05-28,553688.9190146802,132851.4402602105,2,-0.13015215235761846,2.0,False,40
2024-05-29,551322.5091602631,31854.905915633382,4,-0.13386979316243625,2.0,False,40
2024-05-30,557087.8392477621,109317.07437316194,4,-0.12481243298177151,2.0,False,40
2024-05-31,558960.8187229343,50960.74022480927,4,-0.12186997358045969,2.0,False,40
2024-06-03,564827.4915294265,135518.61785278507,2,-0.11265340352045092,2.0,False,40
2024-06-04,561338.043304047,32494.6423210255,4,-0.11813534279008162,2.0,False,40
2024-06-05,571972.0327795172,112008.8478758256,4,-0.1014292962368106,2.0,False,40
2024-06-06,572775.0766030212,51960.24082841318,4,-0.10016771068317422,2.0,False,40
2024-06-07,571183.5077233792,97893.638927085,4,-0.10266807273989534,2.0,False,40
2024-06-10,572765.2431047319,137430.55297353727,2,-0.10018315915437895,2.0,False,40
2024-06-11,573619.1779162937,32952.542071329095,4,-0.09884162362358703,2.0,False,40
2024-06-12,608755.86693958,120802.98233824331,4,-0.0436417229743655,2.0,False,40
2024-06-13,602601.7421813168,54195.06038666246,4,-0.05330988137750655,2.0,False,40
2024-06-14,604407.9824670136,103858.61674928915,4,-0.05047226955093381,2.0,False,40
2024-06-17,605895.2783125876,145379.34936742394,2,-0.048135720912065895,2.0,False,40
2024-06-18,610003.6382962868,34858.47729734274,4,-0.04168146841317119,2.0,False,40
2024-06-20,617030.5056733895,148050.9467004775,2,-0.030642227327186564,2.0,False,40
2024-06-21,622540.8665740569,35499.43344071547,4,-0.021985424915991533,2.0,False,40
2024-06-24,623289.9054226684,149555.42309813478,2,-0.020808681427202318,2.0,False,40
2024-06-25,621256.2993495665,35860.38638419646,4,-0.02400348595532641,2.0,False,40
2024-06-26,621825.4090857657,122035.83710188957,4,-0.02310941193270339,2.0,False,40
2024-06-27,618579.5241943307,56465.24031693116,4,-0.028208712080400284,2.0,False,40
2024-06-28,613731.1385043678,104592.21560449881,4,-0.035825548379850455,2.0,False,40
2024-07-01,606594.4888975548,145548.67615778567,2,-0.04703725785547304,2.0,False,40
2024-07-02,612999.5541862373,34897.35101278105,4,-0.03697487072068255,2.0,False,40
2024-07-03,615550.4508523189,121145.20756462167,4,-0.03296740028313457,2.0,False,40
2024-07-05,622885.1681063534,149456.10511001886,2,-0.02144452561943163,2.0,False,40
2024-07-08,623909.2271999579,149704.4727506192,2,-0.019835724056243908,2.0,False,40
2024-07-09,627819.384848042,35895.469299266784,4,-0.013692848341517577,2.0,False,40
2024-07-10,633983.4878287264,124281.46053581135,4,-0.004009014104892499,2.0,False,40
2024-07-11,619743.930651692,56966.733241926035,4,-0.026379424160896586,2.0,False,40
2024-07-12,626374.9570053702,106026.17569245287,4,-0.01596205114994427,2.0,False,40
2024-07-15,621434.1187302046,149102.75531847138,2,-0.02372413088751598,2.0,False,40
2024-07-16,620212.9768777644,35751.53981736229,4,-0.02564255037458354,2.0,False,40
2024-07-17,625584.1406349614,122777.18583275995,4,-0.017204427318325152,2.0,False,40
2024-07-18,625064.5532565941,56363.729951771165,4,-0.018020701488195207,2.0,False,40
2024-07-19,609167.696467583,104030.98644945267,4,-0.042994736884836245,2.0,False,40
2024-07-22,628237.3602233467,150740.54652738487,2,-0.013036207097507658,2.0,False,40
2024-07-23,621391.114828433,36144.984397961096,4,-0.023791690215708487,2.0,False,40
2024-07-24,574944.0002402563,110806.22051161708,4,-0.09676032163716083,2.0,False,40
2024-07-25,569084.1098823933,53117.565720493265,4,-0.1059662364390649,2.0,False,40
2024-07-26,574145.0730086385,96691.83230494463,4,-0.09801544000594158,2.0,False,40
2024-07-29,583060.2252533445,139902.13595651917,2,-0.08400969467648502,2.0,False,40
2024-07-30,585690.9086176043,33545.462554711456,4,-0.07987687896779766,2.0,False,40
2024-07-31,587258.622588796,115189.6426347185,4,-0.07741399308236818,2.0,False,40
2024-08-01,557243.7857682229,52665.47714969452,4,-0.12456744027826659,2.0,False,40
2024-08-02,505922.5413264709,25290.96205532388,5,-0.20519335219904117,1.0,True,40
