date,portfolio_value,cash,positions_count,regime_mult
2023-08-08,1125473.4656290382,10185.620133066066,31,0.75
2023-08-09,1119485.0558164867,10185.620133066066,31,0.75
2023-08-10,1120854.8850838812,10185.620133066066,31,0.75
2023-08-11,1128550.9186668098,10185.620133066066,31,1.0
2023-08-14,1133664.1771649066,10185.620133066066,31,1.0
2023-08-15,1123485.8225560011,10185.620133066066,31,1.0
2023-08-16,1116522.507133542,10185.620133066066,31,1.0
2023-08-17,1101927.9200727365,10185.620133066066,31,1.0
2023-08-18,1107973.0424058477,10185.620133066066,31,1.0
2023-08-21,1106050.131597621,10185.620133066066,31,1.0
2023-08-22,1095928.960778353,10185.620133066066,31,1.0
2023-08-23,1096165.0077217538,10185.620133066066,31,1.0
2023-08-24,1088045.5359022769,10185.620133066066,31,1.0
2023-08-25,1092485.9828574832,10185.620133066066,31,1.0
2023-08-28,1095496.6426397513,10185.620133066066,31,1.0
2023-08-29,1101703.983902941,10185.620133066066,31,1.0
2023-08-30,1101048.9013881735,10185.620133066066,31,1.0
2023-08-31,1080873.6312630689,10185.620133066066,31,1.0
2023-09-01,1082216.230280734,10185.620133066066,31,1.0
2023-09-05,1085745.222644986,10185.620133066066,31,1.0
2023-09-06,1079536.4861677848,10185.620133066066,31,1.0
2023-09-07,1089363.178249415,10185.620133066066,31,1.0
2023-09-08,1087803.3510559534,10185.620133066066,31,1.0
2023-09-11,1088257.8337549504,10185.620133066066,31,1.0
2023-09-12,1089651.3035997793,10185.620133066066,31,1.0
2023-09-13,1090987.4700585913,10185.620133066066,31,1.0
2023-09-14,1098538.4551573151,10185.620133066066,31,1.0
2023-09-15,1095503.7972276735,10185.620133066066,31,1.0
2023-09-18,1095370.3309702517,10185.620133066066,31,1.0
2023-09-19,1087562.0974738155,10185.620133066066,31,1.0
2023-09-20,1100013.3989496368,10185.620133066066,31,1.0
2023-09-21,1104225.3391733898,10185.620133066066,31,1.0
2023-09-22,1109492.199642606,10185.620133066066,31,1.0
2023-09-25,1115285.0845431841,10185.620133066066,31,1.0
2023-09-26,1104828.3411331465,10185.620133066066,31,1.0
2023-09-27,1103188.6715937543,10185.620133066066,31,1.0
2023-09-28,1114593.711071067,10185.620133066066,31,1.0
2023-09-29,1104538.9475418855,10185.620133066066,31,1.0
2023-10-02,1116321.0551561974,10185.620133066066,31,1.0
2023-10-03,1105647.670193828,10185.620133066066,31,1.0
2023-10-04,1108745.7314268784,10185.620133066066,31,1.0
2023-10-05,1112233.1677345382,10185.620133066066,31,1.0
2023-10-06,1123797.3574688416,10185.620133066066,31,1.0
2023-10-09,1128344.456535823,10185.620133066066,31,1.0
2023-10-10,1129055.1131164294,10185.620133066066,31,1.0
2023-10-11,1124221.4803986799,10185.620133066066,31,1.0
2023-10-12,1123373.3794053907,10185.620133066066,31,1.0
2023-10-13,1141389.7829861327,10185.620133066066,31,1.0
2023-10-16,1144147.1700527084,10185.620133066066,31,1.0
2023-10-17,1142412.5414382333,10185.620133066066,31,1.0
2023-10-18,1140310.577094983,10185.620133066066,31,1.0
2023-10-19,1132492.0161647154,10185.620133066066,31,1.0
2023-10-20,1123999.4925510092,10185.620133066066,31,1.0
2023-10-23,1114206.6785801975,10185.620133066066,31,1.0
2023-10-24,1119852.3372165696,10185.620133066066,31,1.0
2023-10-25,1124119.1356307224,10185.620133066066,31,1.0
2023-10-26,1119151.388464801,10185.620133066066,31,1.0
2023-10-27,1107935.615503851,10185.620133066066,31,1.0
2023-10-30,1119977.9075346366,10185.620133066066,31,1.0
2023-10-31,1130072.6556753875,10185.620133066066,31,1.0
2023-11-01,1130674.8621608492,10185.620133066066,31,1.0
2023-11-02,1141649.19123326,10185.620133066066,31,1.0
2023-11-03,1138166.9998856264,10185.620133066066,31,1.0
2023-11-06,1141708.418562073,10185.620133066066,31,1.0
2023-11-07,1147297.9475677267,10185.620133066066,31,1.0
2023-11-08,1144574.9633255936,10185.620133066066,31,1.0
2023-11-09,1143490.1193718906,10185.620133066066,31,1.0
2023-11-10,1151813.73853601,10185.620133066066,31,1.0
2023-11-13,1154239.1746785464,10185.620133066066,31,1.0
2023-11-14,1157642.8199430723,10185.620133066066,31,1.0
2023-11-15,1156585.8933080647,10185.620133066066,31,1.0
2023-11-16,1156404.3760129507,10185.620133066066,31,1.0
2023-11-17,1152232.4349710522,10185.620133066066,31,1.0
2023-11-20,1153100.4065748728,10185.620133066066,31,1.0
2023-11-21,1158397.9944700983,10185.620133066066,31,1.0
2023-11-22,1166678.620283287,10185.620133066066,31,1.0
2023-11-24,1172406.4868745715,10185.620133066066,31,1.0
2023-11-27,1167371.0439961816,10185.620133066066,31,1.0
2023-11-28,1163958.1168862,10185.620133066066,31,1.0
