date,value,cash,active_pairs,qualifying_pairs,gross_exposure
2015-04-08,173175.56514614966,70164.68678675743,6,30,205653.4590114337
2015-04-09,172929.5979693493,35585.4560035012,8,30,274825.2981991734
2015-04-10,171595.11240663158,34350.169919359774,8,30,275029.1259842662
2015-04-13,171997.91415073734,34456.71227951796,8,30,275163.34136631916
2015-04-14,171790.83309681143,34457.75547497336,8,30,275163.34136631916
2015-04-15,171322.93583553683,17192.0363528859,9,30,309526.35459473816
2015-04-16,171107.5573994128,17190.81441049591,9,30,309526.35459473816
2015-04-17,170988.75673217195,17189.62949909812,9,30,309526.35459473816
2015-04-20,171867.76257496217,17188.434922645356,9,30,309526.35459473816
2015-04-21,172605.18479062556,17273.784758112182,9,30,309782.8043857559
2015-04-22,172787.63885643228,34675.17983795581,8,30,275261.7674276308
2015-04-23,172711.30373315018,16922.013538964857,9,30,310080.9214727963
2015-04-24,174249.59217014175,1499.4199212866079,10,30,345307.605944324
2015-04-27,174273.3804860512,1496.300602691187,10,30,345307.605944324
2015-04-28,173758.5644021672,1493.1634363058736,10,30,345307.605944324
2015-04-29,172989.7080374213,1489.9973599701361,10,30,345307.605944324
2015-04-30,172122.69672627907,1486.8471519910925,10,30,345307.605944324
2015-05-01,172120.4147261461,1665.0524222454842,10,30,345412.6664082269
2015-05-04,171386.99965365508,1661.9332546763367,10,30,345412.6664082269
2015-05-05,171402.45215247036,1658.8458355984314,10,30,345412.6664082269
2015-05-06,171586.17748872418,1655.7750288069217,10,30,345412.6664082269
2015-05-07,171357.87793617038,1652.6851149681286,10,30,345412.6664082269
2015-05-08,171888.63083020865,1649.5465434779394,10,30,345412.6664082269
2015-05-11,172265.37142587555,2673.927347305609,10,30,345546.7182120757
2015-05-12,172230.5185388817,2671.1726406539365,10,30,345546.7182120757
2015-05-13,172087.9048799362,2668.4070284390364,10,30,345546.7182120757
2015-05-14,173153.4193753261,3175.4519933990014,10,30,345534.08458294865
2015-05-15,173285.1684271678,3172.0203767988705,10,30,345534.08458294865
2015-05-18,172713.5218479861,3168.571500317235,10,30,345534.08458294865
2015-05-19,172090.96892362813,3601.7702233634263,10,30,345321.59449260903
2015-05-20,172458.6011448098,3598.601501867437,10,30,345321.59449260903
2015-05-21,172553.9915375489,3595.4287994114306,10,30,345321.59449260903
2015-05-22,171946.35190744186,3592.254815292371,10,30,345321.59449260903
2015-05-26,171939.69185327852,3589.1199553445317,10,30,345321.59449260903
2015-05-27,171578.49995045428,3585.952903434327,10,30,345321.59449260903
2015-05-28,171894.935001815,3582.8057365567192,10,30,345321.59449260903
2015-05-29,171907.75276465807,3626.1347755930874,10,30,345284.951260815
2015-06-01,171810.33349443632,3623.0783183286285,10,30,345284.951260815
2015-06-02,171976.883280831,3620.011145185314,10,30,345284.951260815
2015-06-03,171816.1665689646,4009.3396597939136,10,30,345266.6340216763
2015-06-04,171512.23114975914,4006.107504744195,10,30,345266.6340216763
