date,reason,positions_before,portfolio_value
2010-07-23,drift_threshold,0,222758.52801427207
2010-07-26,drift_threshold,0,222800.2510401541
2010-07-27,drift_threshold,0,222841.98188082513
2010-08-13,drift_threshold,0,223366.84922946707
2010-08-16,drift_threshold,0,223406.6475291909
2010-08-17,drift_threshold,0,223446.45291996098
2010-08-18,drift_threshold,0,223486.26540304077
2010-08-19,drift_threshold,0,223526.08497969393
2010-08-20,drift_threshold,0,223565.91165118435
2010-08-23,drift_threshold,0,223605.74541877618
2010-08-24,drift_threshold,0,223645.58628373372
2010-08-25,drift_threshold,0,223685.43424732157
2010-08-26,drift_threshold,0,223725.2893108045
2010-08-27,drift_threshold,0,223765.15147544758
2010-08-30,drift_threshold,0,223805.02074251603
2010-08-31,drift_threshold,0,223844.8971132753
2010-09-01,drift_threshold,0,223884.78058899113
2010-09-02,drift_threshold,0,223925.026543597
2010-09-03,drift_threshold,0,223965.27973289232
2010-09-07,drift_threshold,0,224005.54015817764
2010-09-08,drift_threshold,0,224045.8078207537
2010-09-09,drift_threshold,0,224086.08272192147
2010-09-10,drift_threshold,0,224126.36486298218
2010-09-13,drift_threshold,0,224166.65424523733
2011-08-04,drift_threshold,0,234364.74369635407
2011-08-05,drift_threshold,0,234405.38551897125
2011-08-08,drift_threshold,0,234446.03438939658
2011-08-09,drift_threshold,0,234486.6903088522
2011-08-10,drift_threshold,0,234527.35327856053
2011-08-11,drift_threshold,0,234568.02329974415
2011-08-12,drift_threshold,0,234608.70037362588
2011-08-15,drift_threshold,0,234649.38450142875
2011-08-16,drift_threshold,0,234690.07568437603
2011-08-17,drift_threshold,0,234730.77392369113
2011-08-18,drift_threshold,0,234771.47922059774
2011-08-19,drift_threshold,0,234812.19157631972
2011-08-22,drift_threshold,0,234852.91099208116
2011-08-23,drift_threshold,0,234893.63746910638
2011-08-24,drift_threshold,0,234934.37100861987
2011-08-25,drift_threshold,0,234975.11161184637
2011-08-26,drift_threshold,0,235015.8592800108
