config,bull,mild_bull,mild_bear,bear,cagr,sharpe,sortino,max_dd,trades,win_rate,cagr_delta,sharpe_delta,dd_delta,is_cagr,is_sharpe,is_max_dd,oos_cagr,oos_sharpe,oos_max_dd,oos_sharpe_delta,passes_kill
b7/mb4/mbr4/br2,7,4,4,2,0.09861367144936417,0.7178607326418912,0.9901771183159442,-0.33876713831741506,5221,0.536678797165294,-0.009777147725666957,-0.05856630196927304,-0.010593999830354695,0.0794653728657353,0.60132744422074,-0.33876713831741506,0.49257151405045296,3.2177287074097456,-0.22471068410978753,-0.2903711436208578,False
b7/mb4/mbr4/br3,7,4,4,3,0.09074964278159414,0.6742307428648386,0.9304570358401102,-0.38038246490050376,5001,0.5388922215556888,-0.017641176393436986,-0.10219629174632561,0.031021326752734002,0.0655414121256237,0.5102764204934578,-0.38038246490050376,0.44760215517903523,2.928930149924281,-0.20895074520819099,-0.5791697011063226,False
b7/mb4/mbr4/br4,7,4,4,4,0.09819999165605275,0.7133959941342091,0.9963728201211695,-0.36117730260873193,4910,0.5413441955193483,-0.010190827518978374,-0.06303104047695518,0.011816164460962175,0.07457287027486004,0.5619612274234961,-0.36117730260873193,0.4901796500418223,3.2128869156431334,-0.2198952763336451,-0.29521293538746995,False
b7/mb5/mbr3/br2,7,5,3,2,0.09632903177394181,0.6933158957677409,0.9458616858971609,-0.29702508577100006,5232,0.5409021406727829,-0.012061787401089319,-0.08311113884342336,-0.05233605237676969,0.07471983761526291,0.5643857608724466,-0.29702508577100006,0.47939851302311753,3.0271095303290814,-0.27347049096813736,-0.48099032070152203,False
b7/mb5/mbr3/br3,7,5,3,3,0.09054344755725285,0.6678970406655007,0.9155483700395337,-0.3934455321750875,4974,0.5406111781262566,-0.017847371617778274,-0.10852999394566354,0.04408439402731773,0.06886089618902291,0.5355947457123631,-0.3934455321750875,0.44643717792178617,2.8589301379675156,-0.29956011557829976,-0.6491697130630878,False
b7/mb5/mbr4/br2,7,5,4,2,0.09534743100005438,0.6926585417476315,0.9521300623211502,-0.29491926398302143,4944,0.5410598705501618,-0.013043388174976744,-0.08376849286353272,-0.05444187416474833,0.0763285942290386,0.5823086771320982,-0.29491926398302143,0.4737661055158968,3.0146281517624156,-0.29169896229614,-0.4934716992681878,False
b7/mb5/mbr4/br3,7,5,4,3,0.1094379549401101,0.7967627182356748,1.1196614024295573,-0.2958175700268697,4720,0.5400423728813559,0.001047135765078977,0.020335683624510548,-0.053543568120900054,0.07956873899936578,0.6024426203150813,-0.2958175700268697,0.5562077936472691,3.631014349065926,-0.16241007815558658,0.1229144980353225,True
b7/mb5/mbr4/br4,7,5,4,4,0.09855252035776174,0.7267765671974591,1.0066902161626545,-0.36819585103674685,4612,0.5435819601040763,-0.009838298817269386,-0.04965046741370516,0.01883471288897709,0.07066513626020288,0.5502077014040937,-0.36819585103674685,0.4922177583551386,3.1429460274035153,-0.19150681873761133,-0.36515382362708815,False
b7/mb5/mbr5/br2,7,5,5,2,0.09436392663485149,0.6773219049371227,0.9297585606288525,-0.3171475412156927,4784,0.5470317725752508,-0.014026892540179636,-0.0991051296740415,-0.03221359693207704,0.08228155275600191,0.6150278420478897,-0.3171475412156927,0.4681392459286593,3.0008703371523677,-0.291164035512729,-0.5072295138782357,False
b7/mb5/mbr5/br3,7,5,5,3,0.08929095595246217,0.6542410312976671,0.9033983657634355,-0.3443370748027,4563,0.5441595441595442,-0.019099863222568958,-0.12218600331349716,-0.005024063345069774,0.06537961460371311,0.49909419468566424,-0.3443370748027,0.4393761618526839,2.873149807208843,-0.21475819445929933,-0.6349500438217603,False
