symbol,strategy,entry_date,exit_date,exit_reason,pnl_pct,hold_days
NVDA,RATTLESNAKE,2011-05-16,2011-05-26,PROFIT,0.06327697743217375,8
NVDA,RATTLESNAKE,2011-06-07,2011-06-10,STOP,-0.05204882604825767,3
TMUS,RATTLESNAKE,2011-06-09,2011-06-21,TIME,-0.009036310532578473,8
BKNG,RATTLESNAKE,2011-06-16,2011-06-21,PROFIT,0.056095751747443634,3
TSLA,RATTLESNAKE,2011-06-20,2011-06-21,PROFIT,0.058438883513547424,1
AVGO,RATTLESNAKE,2011-07-12,2011-07-22,PROFIT,0.04687942156704317,8
COF,RATTLESNAKE,2011-07-14,2011-07-26,TIME,0.0018460919662326436,8
CAT,RATTLESNAKE,2011-07-27,2011-08-04,STOP,-0.11634122561437987,6
AVGO,RATTLESNAKE,2011-07-29,2011-08-04,STOP,-0.08117701448751502,4
TMO,RATTLESNAKE,2011-08-01,2011-08-04,STOP,-0.05865013373213235,3
AVGO,RATTLESNAKE,2011-08-04,2011-08-05,STOP,-0.050485793300829696,1
UNH,RATTLESNAKE,2011-08-02,2011-08-08,STOP,-0.10749273586553398,4
SPG,RATTLESNAKE,2011-08-05,2011-08-08,STOP,-0.08360928914974097,1
TSLA,RATTLESNAKE,2011-11-23,2011-11-30,PROFIT,0.041017464176667406,4
TSLA,RATTLESNAKE,2011-12-12,2011-12-14,STOP,-0.061821649155129,2
TSLA,RATTLESNAKE,2011-12-14,2011-12-27,TIME,0.0014022447448256425,8
MA,RATTLESNAKE,2012-01-06,2012-01-19,TIME,0.02910305728782303,8
GOOG,RATTLESNAKE,2012-01-25,2012-02-03,PROFIT,0.04712996945138004,7
GILD,RATTLESNAKE,2012-02-17,2012-02-22,STOP,-0.05255301774442833,2
GILD,RATTLESNAKE,2012-02-22,2012-03-01,PROFIT,0.04671022511280176,6
CAT,RATTLESNAKE,2012-03-06,2012-03-08,PROFIT,0.04106518730705688,2
C,RATTLESNAKE,2012-04-10,2012-04-12,PROFIT,0.05386485848724898,2
GS,RATTLESNAKE,2012-04-10,2012-04-12,PROFIT,0.05089011373904051,2
MET,RATTLESNAKE,2012-04-10,2012-04-12,PROFIT,0.042455723654232225,2
TSLA,RATTLESNAKE,2012-04-09,2012-04-19,TIME,0.0003017451376634561,8
MS,RATTLESNAKE,2012-04-09,2012-04-19,TIME,0.005005422473564725,8
AVGO,RATTLESNAKE,2012-04-20,2012-05-02,TIME,0.014585600940927756,8
INTU,RATTLESNAKE,2012-04-24,2012-05-02,PROFIT,0.0417477607359904,6
TSLA,RATTLESNAKE,2012-05-08,2012-05-10,PROFIT,0.0917519700033298,2
AIG,RATTLESNAKE,2012-05-09,2012-05-17,STOP,-0.1055608002772207,6
BKNG,RATTLESNAKE,2012-05-10,2012-05-17,STOP,-0.05241433492090686,5
ACN,RATTLESNAKE,2012-05-08,2012-05-18,TIME,-0.02847983905542828,8
CRM,RATTLESNAKE,2012-05-10,2012-05-18,PROFIT,0.07486690165152665,6
LOW,RATTLESNAKE,2012-05-21,2012-05-24,PROFIT,0.05859368587424818,3
AIG,RATTLESNAKE,2012-05-17,2012-05-29,PROFIT,0.04601310605838904,7
COF,RATTLESNAKE,2012-05-17,2012-05-29,PROFIT,0.04176705550459103,7
QCOM,RATTLESNAKE,2012-05-17,2012-05-30,TIME,0.009395029253603138,8
CRM,RATTLESNAKE,2012-06-01,2012-06-06,PROFIT,0.045728778420063954,3
BKNG,RATTLESNAKE,2012-06-01,2012-06-06,PROFIT,0.05243247379107907,3
CVS,RATTLESNAKE,2012-07-25,2012-08-06,TIME,0.008082667554331291,8
GM,RATTLESNAKE,2012-09-28,2012-10-02,PROFIT,0.04087976846872721,2
TMUS,RATTLESNAKE,2012-10-11,2012-10-16,STOP,-0.053264570352212326,3
TMUS,RATTLESNAKE,2012-10-16,2012-10-26,TIME,-0.039020135030172654,8
AMZN,RATTLESNAKE,2012-10-25,2012-10-26,PROFIT,0.06872418807628167,1
ABT,RATTLESNAKE,2012-10-22,2012-11-05,TIME,-0.011700201384860165,8
TMUS,RATTLESNAKE,2012-10-31,2012-11-12,TIME,-0.015670910986533504,8
CHTR,RATTLESNAKE,2012-11-07,2012-11-19,TIME,-0.01194762942954053,8
AIG,RATTLESNAKE,2012-11-07,2012-11-19,TIME,0.012187470896061425,8
MS,RATTLESNAKE,2012-11-13,2012-11-26,TIME,0.005447789224304556,8
COF,RATTLESNAKE,2013-01-18,2013-01-31,TIME,-0.011756230152572877,8
LOW,RATTLESNAKE,2013-02-25,2013-02-27,PROFIT,0.05158908904375825,2
BAC,RATTLESNAKE,2013-02-25,2013-03-05,PROFIT,0.048085612251042464,6
TSLA,RATTLESNAKE,2013-02-26,2013-03-05,PROFIT,0.06447866509946065,5
TSLA,RATTLESNAKE,2013-03-15,2013-03-25,PROFIT,0.06347391885993647,6
FDX,RATTLESNAKE,2013-03-20,2013-04-02,TIME,-0.02027639456469077,8
ORCL,RATTLESNAKE,2013-03-21,2013-04-03,TIME,0.0030960861366287062,8
TSLA,RATTLESNAKE,2013-04-09,2013-04-11,PROFIT,0.07629623984767342,2
NFLX,RATTLESNAKE,2013-04-03,2013-04-15,TIME,0.03982592155202047,8
MS,RATTLESNAKE,2013-04-18,2013-04-23,PROFIT,0.06400789871477874,3
BKNG,RATTLESNAKE,2013-04-19,2013-04-25,PROFIT,0.040449647232742914,4
META,RATTLESNAKE,2013-04-18,2013-04-26,PROFIT,0.045153887779815216,6
AMZN,RATTLESNAKE,2013-05-02,2013-05-10,PROFIT,0.0438725696220037,6
NFLX,RATTLESNAKE,2013-05-28,2013-05-31,PROFIT,0.056305258622234566,3
CRM,RATTLESNAKE,2013-05-28,2013-06-04,STOP,-0.09569382454221653,5
TSLA,RATTLESNAKE,2013-06-04,2013-06-07,PROFIT,0.07591733200880801,3
