date,value,cash,positions,drawdown,leverage,regime_score,regime_label,dd_leverage,universe_size
2003-08-22 00:00:00-04:00,319966.01428477734,83510.89974453609,8,-0.16091887502973762,0.4727028124256559,0.5,MILD,0.4727028124256559,50
2003-08-25 00:00:00-04:00,319934.4138797655,83522.49848061171,8,-0.16100174415396673,0.4724956396150832,0.5,MILD,0.4724956396150832,50
2003-08-26 00:00:00-04:00,319427.7212468204,85323.41492522907,8,-0.16233049847625328,0.46917375380936677,0.5,MILD,0.46917375380936677,50
2003-08-27 00:00:00-04:00,321874.7942974547,73096.84444218452,8,-0.15591327690726767,0.48521680773183085,0.5,MILD,0.48521680773183085,50
2003-08-28 00:00:00-04:00,322596.18005788315,73106.99678169038,8,-0.15402150981834462,0.48994622545413846,0.5,MILD,0.48994622545413846,50
2003-08-29 00:00:00-04:00,324685.59456822835,72225.77789617801,8,-0.14854221451947183,0.5072889274026409,0.5,MILD,0.5072889274026409,50
2003-09-02 00:00:00-04:00,326076.0870518094,68254.91275626456,8,-0.1448957772564584,0.5255211137177079,0.5,MILD,0.5255211137177079,50
2003-09-03 00:00:00-04:00,321577.40627150587,68264.39260525849,8,-0.15669314935692022,0.48326712660769944,0.5,MILD,0.48326712660769944,50
2003-09-04 00:00:00-04:00,324340.7417108049,68273.8737708981,8,-0.14944655907682383,0.5027672046158809,0.5,MILD,0.5027672046158809,50
2003-09-05 00:00:00-04:00,323039.484579414,68283.35625336629,8,-0.15285898492499933,0.49285253768750165,0.5,MILD,0.49285253768750165,50
2003-09-08 00:00:00-04:00,327967.9149852659,77170.1595071106,8,-0.13993463438569717,0.5503268280715141,0.5,MILD,0.5503268280715141,50
2003-09-09 00:00:00-04:00,325621.67783437605,72204.32413304503,8,-0.14608742318239568,0.5195628840880215,0.5,MILD,0.5195628840880215,50
2003-09-10 00:00:00-04:00,321882.262159694,72214.35251139684,8,-0.15589369313283816,0.4852657671679046,0.5,MILD,0.4852657671679046,50
2003-09-11 00:00:00-04:00,322817.4085311401,73486.09355576744,8,-0.15344135871501302,0.4913966032124674,0.5,MILD,0.4913966032124674,50
