date,value,cash,positions,drawdown,leverage,in_protection,risk_on,universe_size,hmm_pb
2006-07-05,116715.53172400052,63839.40872813893,2,-0.18931080982157633,0.3,True,True,40,3.9036343131965504e-14
2006-07-06,117021.52241741375,63854.22859087939,2,-0.18718544275361912,0.3,True,True,40,2.1907506983256e-12
2006-07-07,116768.86165168622,65966.63845783986,2,-0.1889403878627403,0.3,True,True,40,6.54531467319282e-13
2006-07-10,116448.18286529092,65981.95214176757,2,-0.19116777629862533,0.3,True,True,40,8.34555640209364e-13
2006-07-11,117461.95429673757,65104.88056383138,2,-0.18412626666707976,0.3,True,True,40,9.986768237847706e-09
2006-07-12,115860.88633911815,65119.99419681941,2,-0.19524705296527736,0.33,True,True,40,0.39966682910036355
2006-07-13,115244.55749989799,65135.111338329385,2,-0.19952798387627677,0.3,True,True,40,8.62092944837317e-08
2006-07-14,114643.02764812435,63769.44835853046,2,-0.2037061231624489,0.3,True,True,40,5.423206340557762e-16
2006-07-17,114075.37857651457,63784.251980470835,2,-0.20764893145344032,0.33,True,False,40,9.512059873544368e-19
2006-07-18,114983.39399834146,61000.53548721257,2,-0.20134198775779688,0.33,True,False,40,3.052980014226621e-11
2006-07-19,114720.27158117692,61014.69632580781,2,-0.2031695979836007,0.33,True,False,40,0.0022714554880965145
2006-07-20,113687.50191645027,61028.860451740584,2,-0.21034306659374213,0.33,True,False,40,4.316704863638635e-07
2006-07-21,112127.21456653572,58427.983441376855,2,-0.22118059669332663,0.33,True,False,40,4.259189963692059e-12
2006-07-24,111591.76325385645,58441.54708039003,2,-0.2248997640110271,0.33,True,False,40,1.4133565026791385e-05
2006-07-25,112775.98255524656,59570.4487544038,2,-0.2166743481451437,0.33,True,False,40,2.7538854556071876e-07
2006-07-26,113173.74802171675,59584.27760857893,2,-0.21391152678683303,0.3,True,True,40,0.0020201126229300744
2006-07-27,112693.34152678304,59598.10967302378,2,-0.2172483607675514,0.3,True,True,40,0.00034543022199291724
2006-07-28,114626.54953743322,62558.854870203344,2,-0.20382057773430012,0.3,True,True,40,5.428302484079177e-06
2006-07-31,114257.30055526762,62573.3774615125,2,-0.20638532772005105,0.3,True,True,40,3.682915605824778e-05
2006-08-01,112973.6653804338,63506.35568795513,2,-0.21530127185361644,0.3,True,True,40,1.3821201324892165e-05
2006-08-02,113435.15635677733,63520.66981891972,2,-0.21209582232723048,0.3,True,True,40,0.00013059268646041516
2006-08-03,115126.84969335416,63534.98717624399,2,-0.2003455652637338,0.3,True,True,40,6.332073284842331e-06
2006-08-04,115718.50269457961,63319.40011037637,2,-0.1962360291519134,0.3,True,True,40,5.328742112475828e-05
