date,portfolio_value,cash,positions_value,positions_count
2006-02-03,152720.0210771142,16608.873218421824,136111.14785869236,17
2006-02-06,151777.72088312852,16608.873218421824,135168.8476647067,17
2006-02-07,151416.1089811604,16608.873218421824,134807.23576273856,17
2006-02-08,152594.2238273285,16608.873218421824,135985.35060890668,17
2006-02-09,151556.3301430883,16608.873218421824,134947.45692466648,17
2006-02-10,152147.40666411,16608.873218421824,135538.53344568817,17
2006-02-13,151407.0034874274,16608.873218421824,134798.13026900557,17
2006-02-14,153070.6075754131,16608.873218421824,136461.73435699128,17
2006-02-15,153693.77874839853,16608.873218421824,137084.9055299767,17
2006-02-16,154970.4739730126,16608.873218421824,138361.60075459076,17
2006-02-17,154531.3436611814,16608.873218421824,137922.47044275957,17
2006-02-21,153930.18570537295,16608.873218421824,137321.31248695112,17
2006-02-22,155646.75902591454,16608.873218421824,139037.8858074927,17
2006-02-23,155591.65089321812,16608.873218421824,138982.7776747963,17
2006-02-24,155628.11391687067,16608.873218421824,139019.24069844885,17
2006-02-27,156509.65836919827,16608.873218421824,139900.78515077644,17
2006-02-28,154918.82534579918,16608.873218421824,138309.95212737736,17
2006-03-01,156048.1192007139,16608.873218421824,139439.24598229208,17
2006-03-02,155443.51758500768,16608.873218421824,138834.64436658585,17
2006-03-03,155184.00588968192,16608.873218421824,138575.1326712601,17
2006-03-06,154343.981942315,16608.873218421824,137735.10872389318,17
2006-03-07,154697.06612759404,16608.873218421824,138088.1929091722,17
2006-03-08,154843.87285623982,16608.873218421824,138234.999637818,17
2006-03-09,154089.3611872044,16608.873218421824,137480.48796878257,17
2006-03-10,154347.44501537085,16608.873218421824,137738.57179694902,17
2006-03-13,155075.41156877496,16608.873218421824,138466.53835035313,17
2006-03-14,156069.56617216227,16608.873218421824,139460.69295374045,17
2006-03-15,155931.38539988967,16608.873218421824,139322.51218146784,17
2006-03-16,155090.09467227347,16608.873218421824,138481.22145385164,17
2006-03-17,155263.30862812465,16608.873218421824,138654.43540970283,17
2006-03-20,155331.39102309375,16608.873218421824,138722.51780467192,17
2006-03-21,154686.77600256586,16608.873218421824,138077.90278414404,17
2006-03-22,155239.45972687434,16608.873218421824,138630.5865084525,17
2006-03-23,154523.56342192282,16608.873218421824,137914.690203501,17
2006-03-24,154634.6275400749,16608.873218421824,138025.75432165308,17
2006-03-27,154031.23171765215,16608.873218421824,137422.35849923032,17
2006-03-28,152810.28915802887,16608.873218421824,136201.41593960705,17
2006-03-29,154505.2042925696,16608.873218421824,137896.33107414778,17
2006-03-30,154254.6052682184,16608.873218421824,137645.73204979658,17
2006-03-31,153951.55080448074,16608.873218421824,137342.6775860589,17
2006-04-03,154465.61415520258,16608.873218421824,137856.74093678076,17
2006-04-04,154979.35430831244,16608.873218421824,138370.4810898906,17
2006-04-05,156465.0922887521,16608.873218421824,139856.21907033026,17
2006-04-06,156724.5944342765,16608.873218421824,140115.7212158547,17
2006-04-07,155590.36412997512,16608.873218421824,138981.4909115533,17
2006-04-10,154899.33535953943,16608.873218421824,138290.4621411176,17
2006-04-11,153613.77105462013,16608.873218421824,137004.8978361983,17
2006-04-12,153915.94018007556,16608.873218421824,137307.06696165373,17
2006-04-13,153716.2332191885,16608.873218421824,137107.36000076667,17
2006-04-17,152354.1642923241,16608.873218421824,135745.29107390228,17
2006-04-18,153051.8075209236,16608.873218421824,136442.9343025018,17
2006-04-19,152902.0147748963,16608.873218421824,136293.14155647447,17
2006-04-20,153695.61176361685,16608.873218421824,137086.73854519502,17
2006-04-21,153361.31235088667,16608.873218421824,136752.43913246485,17
2006-04-24,153305.646476917,16608.873218421824,136696.77325849517,17
2006-04-25,153491.8143028512,16608.873218421824,136882.9410844294,17
2006-04-26,154932.09648871704,16608.873218421824,138323.22327029522,17
2006-04-27,156352.3029783571,16608.873218421824,139743.42975993527,17
2006-04-28,158081.7518083612,16608.873218421824,141472.87858993938,17
2006-05-01,157734.89073986368,16608.873218421824,141126.01752144186,17
2006-05-02,158090.72784494344,16608.873218421824,141481.8546265216,17
2006-05-03,156313.08860632047,16608.873218421824,139704.21538789864,17
2006-05-04,156204.02165413517,16608.873218421824,139595.14843571334,17
2006-05-05,157453.7133634533,16608.873218421824,140844.84014503149,17
2006-05-08,156764.26022191887,16608.873218421824,140155.38700349705,17
2006-05-09,156365.49547135306,16608.873218421824,139756.62225293124,17
2006-05-10,156488.367986309,16608.873218421824,139879.49476788717,17
2006-05-11,154412.91499529043,16608.873218421824,137804.0417768686,17
2006-05-12,153081.13883998603,16608.873218421824,136472.2656215642,17
2006-05-15,154032.35132495366,16608.873218421824,137423.47810653184,17
2006-05-16,153346.18176919856,16608.873218421824,136737.30855077674,17
2006-05-17,151443.49520797317,16608.873218421824,134834.62198955135,17
2006-05-18,149753.57372393526,16608.873218421824,133144.70050551344,17
2006-05-19,150165.87825119824,16608.873218421824,133557.00503277642,17
2006-05-22,149767.9030247036,16608.873218421824,133159.0298062818,17
2006-05-23,148879.7931879566,16608.873218421824,132270.91996953476,17
2006-05-24,149322.2036225427,16608.873218421824,132713.33040412088,17
2006-05-25,150077.3471713411,16608.873218421824,133468.47395291927,17
2006-05-26,150470.47697822264,16608.873218421824,133861.6037598008,17
2006-05-30,148361.79208468288,16608.873218421824,131752.91886626105,17
2006-05-31,148662.30426658457,16608.873218421824,132053.43104816275,17
2006-06-01,150661.30520028906,16608.873218421824,134052.43198186724,17
2006-06-02,151006.32583242218,16608.873218421824,134397.45261400036,17
2006-06-05,149505.8053428598,16608.873218421824,132896.93212443797,17
2006-06-06,149059.08097035537,16608.873218421824,132450.20775193354,17
2006-06-07,148292.09323103985,16608.873218421824,131683.22001261803,17
2006-06-08,148655.5554788652,16608.873218421824,132046.68226044337,17
2006-06-09,147825.626462227,14943.78330585515,132881.84315637185,18
2006-06-12,146415.95868830875,14872.964766523479,131542.99392178527,18
2006-06-13,145261.41531698743,14872.964766523479,130388.45055046395,18
2006-06-14,144940.1874752349,14787.316387234385,130152.87108800054,18
2006-06-15,147618.47732819803,14822.627051505158,132795.8502766929,18
2006-06-16,146595.6528123978,14818.073057162503,131777.57975523532,18
2006-06-19,145794.67925055686,14818.073057162503,130976.60619339434,18
2006-06-20,146073.0105178145,14796.088628576395,131276.9218892381,18
2006-06-21,146847.51118105734,14796.088628576395,132051.42255248094,18
2006-06-22,147309.2653582871,14850.752964648082,132458.51239363904,18
2006-06-23,147077.3472409162,14850.752964648082,132226.59427626812,18
2006-06-26,147274.3170967597,14876.471992974075,132397.84510378563,18
2006-06-27,145960.85740169478,14876.471992974075,131084.3854087207,18
2006-06-28,146730.09403203358,14870.093788078662,131860.0002439549,18
2006-06-29,149169.0919701824,14870.093788078662,134298.99818210374,18
2006-06-30,147961.0967390426,14906.686947509868,133054.40979153273,18
2006-07-03,149008.72987291406,14893.807609421876,134114.9222634922,18
2006-07-05,147771.8643466617,14887.7386562086,132884.1256904531,18
2006-07-06,147549.0189444828,14871.862632440785,132677.15631204203,18
2006-07-07,147173.02146002676,14871.862632440785,132301.15882758598,18
2006-07-10,147609.23799674847,14839.64621404751,132769.59178270097,18
2006-07-11,148328.208154567,14839.64621404751,133488.5619405195,18
2006-07-12,146252.15958520258,16488.22451607596,129763.93506912663,17
2006-07-13,145027.72479212595,16488.22451607596,128539.50027604999,17
2006-07-14,144307.73116905792,16488.22451607596,127819.50665298196,17
2006-07-17,144711.92295644697,16488.22451607596,128223.69844037102,17
2006-07-18,145494.70263966316,16488.22451607596,129006.4781235872,17
2006-07-19,148907.14364263896,16488.22451607596,132418.919126563,17
2006-07-20,149720.99224590385,16488.22451607596,133232.7677298279,17
2006-07-21,149141.26942231227,16488.22451607596,132653.04490623632,17
