date,portfolio_value,cash,positions,drawdown,leverage,in_protection,risk_on,universe_size
2015-07-01,192331.33710900333,36677.84281467495,5,-0.06478649894836933,1.2484771257196317,False,True,40
2015-07-02,193498.31512884688,36667.90626711918,5,-0.059112053920362014,1.2853395952145574,False,True,40
2015-07-06,193212.79136676269,36517.93200752223,5,-0.060500416738329926,1.2827327882354074,False,True,40
2015-07-07,191080.8416626852,36508.28877250935,5,-0.07086704849364438,1.2793108729812592,False,True,40
2015-07-08,186932.79184131554,38511.64642925862,5,-0.0910369919583494,1.138227450121068,False,True,40
2015-07-09,188064.6793986742,37575.83300414103,5,-0.08553317473737186,1.214583769797967,False,True,40
2015-07-10,189610.7904516833,37570.74631472503,5,-0.07801519065514304,1.1354323920203195,False,True,40
2015-07-13,191848.95294116583,37548.995089110686,5,-0.06713209791958384,1.1054061538547166,False,True,40
2015-07-14,194146.2297137448,37544.77878078377,5,-0.05596156125269347,1.108227543229692,False,True,40
2015-07-15,193556.11955058572,42007.084537501316,5,-0.05883097920605269,1.1178771900169706,False,True,40
2015-07-16,195508.61395980912,40722.761047616295,5,-0.04933695103736857,1.0958662971947988,False,True,40
2015-07-17,197070.1166606326,40717.4526688223,5,-0.041744124877630205,1.1363899429629694,False,True,40
2015-07-20,198570.1441067956,39576.82613659221,5,-0.03445022290259959,1.146337889114818,False,True,40
2015-07-21,196381.53456186948,42272.16241141484,5,-0.045092363833514774,1.149249225074821,False,True,40
2015-07-22,196572.94090981688,42187.89220129327,5,-0.044161648103680576,1.1481753883066386,False,True,40
2015-07-23,195943.3547327714,41223.87986624861,5,-0.04722301866189967,1.1575540167974316,False,True,40
2015-07-24,198034.61515019505,41219.289880415876,5,-0.037054239065254777,1.1164256990562544,False,True,40
2015-07-27,195921.65860456205,45679.62274852561,5,-0.04732851635315961,1.105276770714445,False,True,40
2015-07-28,198583.4993784153,44486.29337635264,5,-0.03438528272947604,1.2472435810129605,False,True,40
2015-07-29,199889.28225505218,43567.9877753032,5,-0.028035897371744382,1.2290603351642615,False,True,40
2015-07-30,200713.2178899571,43009.20994874368,5,-0.024029500175410657,1.2564336556642732,False,True,40
2015-07-31,199753.0067548821,42999.88722236505,5,-0.028698538673662774,1.2550118642130805,False,True,40
2015-08-03,199878.3094740748,50681.15556042192,5,-0.028089252654707495,1.2526321931479558,False,True,40
2015-08-04,199890.33611826808,48131.047733710606,5,-0.02803077294884697,1.2682847117411356,False,True,40
2015-08-05,201206.84141206747,46662.0265987388,5,-0.02162924970529282,1.5042293544022738,False,True,40
2015-08-06,196619.3118926949,44642.12201505367,5,-0.04393616862697946,1.4248351138032622,False,True,40
2015-08-07,195561.08956400855,44150.715749397146,5,-0.049081787764129685,1.56225149696691,False,True,40
2015-08-10,196243.55206404367,38530.217117907385,5,-0.04576330543260734,1.5229017299674033,False,True,40
2015-08-11,196113.54999134887,38515.70765768899,5,-0.04639544211598082,1.46473667513149,False,True,40
2015-08-12,196113.06648940378,41333.14296136104,5,-0.04639779315015776,1.4623209999287825,False,True,40
2015-08-13,196380.01221197154,42441.924863069384,5,-0.04509976627868718,1.5359508127363646,False,True,40
2015-08-14,197055.08825048304,44386.09645581056,5,-0.041817200707510424,1.518226656641013,False,True,40
2015-08-17,198996.22568024416,40681.918314985836,5,-0.0323783959916653,1.4816139265842792,False,True,40
2015-08-18,199694.0910987493,40666.65416655767,5,-0.028985016778931085,1.487710611227565,False,True,40
2015-08-19,198600.24881165102,41001.60679290762,5,-0.03430383840359304,1.439227246369384,False,True,40
2015-08-20,192265.08800969162,40464.58904996634,5,-0.06510863601162756,1.193893468772333,False,True,40
2015-08-21,184650.95599103803,37435.19946812956,5,-0.10213244694992839,0.9421075546492521,False,True,40
2015-08-24,177892.1681384291,113582.25256145386,2,-0.13499713632148558,1.0,False,False,40
2015-08-25,181790.78326425346,113583.15400790276,2,-0.11604007214317814,1.0,False,False,40
2015-08-26,185284.21937862318,113584.055461506,2,-0.09905319591006445,1.0,False,False,40
2015-08-27,187227.98396325813,113584.95692226362,2,-0.0896016166212127,1.0,False,False,40
2015-08-28,187757.05990014508,67481.33092785993,2,-0.08702897834657841,1.0,False,False,40
2015-08-31,186429.35859342274,67481.8664939784,2,-0.0934849423411868,1.0,False,False,40
2015-09-01,182802.37610091863,67482.4020643474,2,-0.11112118948662902,1.0,False,False,40
2015-09-02,185890.8698166521,67482.93763896696,2,-0.09610335066595854,1.0,False,False,40
2015-09-03,184505.22791813477,67483.47321783712,2,-0.10284105150345535,1.0,False,False,40
2015-09-04,183119.74352208996,66701.48387307892,2,-0.10957798648323515,1.0,False,False,40
2015-09-08,186715.56641920708,66702.01324993506,2,-0.09209325325503208,1.0,False,False,40
2015-09-09,186588.84869100712,66702.5426309926,2,-0.09270941977275368,1.0,False,False,40
2015-09-10,187900.31918145323,66703.07201625158,2,-0.08633237832266025,1.0,False,False,40
2015-09-11,189241.97571584038,66703.60140571202,2,-0.07980855686125231,1.0,False,False,40
2015-09-14,187872.51983458272,67811.59580744237,2,-0.0864675529900052,1.0,False,False,40
2015-09-15,188758.2460587048,67812.13399471068,2,-0.082160698290789,1.0,False,False,40
2015-09-16,189512.2857471151,67812.67218625032,2,-0.07849417099716129,1.0,False,False,40
2015-09-17,191588.30494623818,67813.21038206133,2,-0.06839950201265801,1.0,False,False,40
2015-09-18,191049.23922574753,67813.74858214373,2,-0.07102071573339067,1.0,False,False,40
2015-09-21,192636.91211726284,68637.39952190054,2,-0.06330063669833834,1.0,False,False,40
