date,portfolio_value,cash,positions_count,closed_count
2012-08-03,327258.2099008657,3.616861102080772e-53,599,15241
2012-08-06,327408.85628970707,3.142729056274571e-53,598,15247
2012-08-07,327382.37092769705,4.0122619750659555e-53,597,15253
2012-08-08,327140.288925259,2.1620650193982404e-53,599,15256
2012-08-09,327143.7121282493,3.995703086598179e-53,598,15262
2012-08-10,327353.32663920824,3.708583239202492e-53,597,15268
2012-08-13,327684.9856765559,3.8105741821029054e-53,597,15273
2012-08-14,328227.7108099141,3.001845040089934e-53,598,15277
2012-08-15,329432.23388921254,4.0240248828411758e-53,597,15283
2012-08-16,332284.0039485179,2.1198978005812327e-53,599,15286
2012-08-17,333961.07012381055,3.9756312276422765e-53,598,15292
2012-08-20,335457.60933032964,2.1627694770473635e-53,599,15296
2012-08-21,333224.8938630272,4.31571754343555e-53,597,15303
2012-08-22,335365.2445863817,4.298519694943016e-53,596,15309
2012-08-23,332269.0866670043,1.8425425105324584e-53,599,15311
2012-08-24,333291.1189637776,3.6984228365467605e-53,599,15316
2012-08-27,334635.1398719484,3.666650672721839e-53,597,15323
2012-08-28,334616.6130250275,2.9997004137295787e-53,598,15327
2012-08-29,334287.9214460851,3.370283951709154e-53,598,15332
2012-08-30,331312.54653236794,3.7743978342634206e-53,597,15338
2012-08-31,332246.01881842926,2.1875338003048003e-53,599,15341
2012-09-04,332955.3789995092,1.769349483285616e-53,600,15345
2012-09-05,333337.55420455476,8.846747416428074e-55,605,15345
2012-09-06,338203.3671556717,1.7032944396511263e-53,603,15352
2012-09-07,340067.7436065443,7.92898233069054e-54,603,15357
2012-09-10,336964.59064726095,1.347296994482997e-53,603,15362
2012-09-11,336757.8848324722,1.2703517372768356e-53,602,15368
2012-09-12,337575.72880675754,1.33646737941575e-53,602,15373
2012-09-13,343978.53905346163,8.130538376931722e-54,604,15376
2012-09-14,345017.0554202494,1.5590937749804299e-53,602,15383
2012-09-17,344681.99760459975,1.2811470221935643e-53,602,15388
2012-09-18,344453.08492616145,8.942789515195403e-54,604,15391
2012-09-19,346001.1094021347,1.5257254796753198e-53,602,15398
2012-09-20,347413.11222831236,1.0081838800494497e-53,603,15402
2012-09-21,346334.39074668393,1.3092561329861838e-53,603,15407
2012-09-24,344634.45628904976,1.3808585347157e-53,602,15413
2012-09-25,340746.7936285445,5.633831405941235e-54,605,15415
2012-09-26,338787.75971380505,1.8466952550113353e-53,600,15425
2012-09-27,343188.00019046443,7.921650449619969e-54,603,15427
2012-09-28,340366.78366838634,1.264616896132894e-53,604,15431
2012-10-01,339429.48887894594,1.147141174490321e-53,603,15437
2012-10-02,339583.19105722994,9.895950074170997e-54,604,15441
2012-10-03,342734.94309303205,1.6825925050180844e-53,601,15449
2012-10-04,344724.9920100564,9.126923290595979e-54,603,15452
2012-10-05,342314.2874453505,1.3698643076849487e-53,603,15457
2012-10-08,340011.74847650016,1.632977855415739e-53,601,15464
2012-10-09,335803.8167364498,1.5614714375435843e-53,601,15469
2012-10-10,334036.81432429067,3.809048130542462e-54,605,15470
2012-10-11,332415.84773634124,1.48973638771194e-53,605,15475
2012-10-12,331642.65118726785,1.2781274205391258e-53,602,15483
2012-10-15,334173.87317468657,1.1196279048585475e-53,603,15487
2012-10-16,338080.8818600197,1.6594939371275246e-53,601,15494
2012-10-17,340245.70673578075,1.2719870761925398e-53,602,15498
2012-10-18,338448.81598715956,9.38274136249486e-54,604,15501
2012-10-19,332364.11519011075,1.1888505056247154e-53,604,15506
2012-10-22,333441.1598976632,1.2100338193207773e-53,603,15512
2012-10-23,328588.01673005,7.233790734458301e-54,605,15515
2012-10-24,326816.4799073473,1.1736563957385944e-53,605,15520
2012-10-25,325322.2623509212,1.4107402420600766e-53,602,15528
2012-10-26,327986.5568554017,7.791024989001812e-54,604,15531
2012-10-31,326016.44981187285,3.89551249450092e-55,609,15531
2012-11-01,327509.87503081176,1.6938022808005883e-55,612,15533
2012-11-02,324210.73776939884,2.6930885306083953e-55,613,15537
2012-11-05,325635.10528394976,3.472138134688408e-55,610,15545
2012-11-06,326805.0467735132,2.0167695834474e-55,612,15548
2012-11-07,318739.48988421186,2.8065016740261902e-55,612,15553
2012-11-08,313320.10860905517,2.3140537907596123e-55,612,15558
2012-11-09,313710.8381931573,2.5125367056197315e-55,612,15563
2012-11-12,312388.8211267473,2.389647310200283e-55,612,15568
2012-11-13,312437.66498116736,3.3868807788541545e-55,610,15575
2012-11-14,308995.8992790601,1.8995946682375176e-55,612,15578
2012-11-15,307252.40770835365,3.077944805087041e-55,611,15584
2012-11-16,309578.8707819942,3.7969633681264035e-55,609,15591
2012-11-19,317338.10550547217,9.267913396788463e-56,613,15592
2012-11-20,317606.81980660884,3.5314161820246574e-55,611,15599
2012-11-21,319009.0786045277,3.2124983172986165e-55,610,15605
2012-11-23,322587.91236615926,1.3905132066743019e-55,613,15607
2012-11-26,325564.14433856885,6.104265108919411e-56,616,15609
2012-11-27,324279.61949431716,1.1744907461285538e-55,615,15615
2012-11-28,326568.85997652233,5.2824462844883635e-56,617,15618
2012-11-29,329162.4835738743,9.329586667365501e-56,618,15622
2012-11-30,329952.09187498485,1.0898284483484278e-55,615,15630
2012-12-03,328616.28732967895,6.180517497883203e-56,617,15633
