symbol,strategy,entry_date,exit_date,exit_reason,pnl,return
AMGN,COMPASS,2008-09-17,2008-09-22,position_stop,-2424.2435344188434,-0.06755224214683304
JNJ,COMPASS,2008-09-16,2008-09-23,hold_expired,-862.5026582379222,-0.023639044029205036
AMGN,COMPASS,2008-09-22,2008-09-29,trailing_stop,-1186.4315461365197,-0.035789209856871965
PG,COMPASS,2008-09-23,2008-09-30,hold_expired,1179.4911296524451,0.035820766008660444
AMGN,COMPASS,2008-09-29,2008-10-06,trailing_stop,-250.03780244755367,-0.009368981353188689
HPQ,COMPASS,2008-09-30,2008-10-06,position_stop,-2939.787932325172,-0.11440304011157608
JNJ,COMPASS,2008-10-06,2008-10-09,position_stop,-1809.7744194953602,-0.1072861653558134
AMGN,COMPASS,2008-10-06,2008-10-10,position_stop,-858.7594557719755,-0.11640596013385754
PG,COMPASS,2008-10-09,2008-10-15,trailing_stop,-413.81705866750053,-0.017411022012065635
AMGN,COMPASS,2008-11-21,2008-12-01,hold_expired,-33.62960499809132,-0.002368202051510372
JPM,COMPASS,2008-11-21,2008-12-01,trailing_stop,1454.960662503214,0.14964827687003743
PG,COMPASS,2008-12-01,2008-12-08,hold_expired,444.14401570040195,0.03306357586140578
AMGN,COMPASS,2008-12-01,2008-12-15,hold_expired,571.4674837675834,0.053679123037242246
XOM,COMPASS,2008-12-08,2008-12-15,hold_expired,106.5085586170885,0.0043976119475065256
WMT,COMPASS,2008-12-15,2008-12-22,hold_expired,445.2032190149706,0.023395741701806447
JPM,COMPASS,2008-12-15,2008-12-30,hold_expired,438.49374404085756,0.08313017626257102
ICE,COMPASS,2008-12-31,2009-01-02,universe_rotation,906.981140972327,0.02583659548707998
XOM,COMPASS,2008-12-22,2009-01-07,hold_expired,1093.1708283434305,0.04458659463862521
WMT,COMPASS,2008-12-30,2009-01-07,hold_expired,307.7852967879071,0.008901019164879825
AMGN,COMPASS,2009-02-25,2009-02-26,position_stop,-1908.2233527258772,-0.09423579824595867
XOM,COMPASS,2009-02-25,2009-03-02,position_stop,-1331.5204805828814,-0.09909794984820239
AMGN,COMPASS,2009-02-26,2009-03-02,position_stop,-2279.0598911692755,-0.06539180623319166
AMGN,COMPASS,2009-03-02,2009-03-09,hold_expired,-608.0036025335831,-0.03362565350053901
V,COMPASS,2009-03-02,2009-03-09,position_stop,-1217.9266195435516,-0.08050222364607966
V,COMPASS,2009-03-09,2009-03-19,trailing_stop,937.8374854427017,0.058031970906036096
IBM,COMPASS,2009-03-09,2009-03-23,hold_expired,3158.0329916032942,0.18243928253166625
IBM,COMPASS,2009-03-23,2009-03-30,hold_expired,-1064.0588326125871,-0.04244802711212103
QCOM,COMPASS,2009-03-19,2009-04-02,hold_expired,2672.1039040931905,0.09750315094476955
OXY,COMPASS,2009-04-02,2009-04-09,hold_expired,-770.7226907945137,-0.026285209378355726
IBM,COMPASS,2009-03-30,2009-04-14,hold_expired,1313.5693480810528,0.05025422686918613
GOOG,COMPASS,2009-04-06,2009-04-14,hold_expired,50.10603122806726,0.0018193816155819607
QCOM,COMPASS,2009-04-09,2009-04-17,hold_expired,-503.4857331341556,-0.016086575447670493
QCOM,COMPASS,2009-04-17,2009-04-21,regime_reduce,-553.4994312925676,-0.017325625228027615
IBM,COMPASS,2009-04-15,2009-04-22,hold_expired,547.8685996281531,0.03743029419094467
GOOGL,COMPASS,2009-04-15,2009-04-22,hold_expired,185.53374412456856,0.011488981189528883
QCOM,COMPASS,2009-04-22,2009-04-29,hold_expired,834.097680940502,0.07377915730387206
GOOG,COMPASS,2009-04-22,2009-04-29,hold_expired,257.4373731421269,0.019824928556009314
GOOGL,COMPASS,2009-04-22,2009-04-29,hold_expired,257.44148101284856,0.019824756879353284
IBM,COMPASS,2009-04-29,2009-05-06,hold_expired,167.54930260627975,0.010826823241969414
GOOGL,COMPASS,2009-04-29,2009-05-06,hold_expired,424.8108694800548,0.03065375926313356
AMZN,COMPASS,2009-05-04,2009-05-11,hold_expired,-533.6559365629334,-0.014541829263729258
AAPL,COMPASS,2009-04-29,2009-05-12,trailing_stop,-76.1709108507362,-0.0057534765886520485
RIG,COMPASS,2009-05-06,2009-05-13,hold_expired,-726.8370169636204,-0.0512132209225282
IBM,COMPASS,2009-05-06,2009-05-13,hold_expired,-704.1510725747578,-0.02255796511372969
AAPL,COMPASS,2009-05-12,2009-05-19,hold_expired,854.9132522781847,0.024352606473823344
AMZN,COMPASS,2009-05-13,2009-05-20,hold_expired,1222.4607614953968,0.0509502325087245
RIG,COMPASS,2009-05-13,2009-05-20,hold_expired,592.1524210381679,0.03306478508909882
AAPL,COMPASS,2009-05-19,2009-05-21,regime_reduce,-934.9572929008892,-0.025656576289114268
IBM,COMPASS,2009-05-20,2009-05-27,regime_reduce,-176.17133357442833,-0.010763786164623527
