symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl_pct,pnl_dollar,hold_days,exit_reason
ADBE,2006-12-06,2006-12-08,38.540000915527344,38.880001068115234,1130,0.008822006863287601,364.4432519760132,2,mean_reverted_sma
GE,2006-12-06,2006-12-08,105.93341827392578,106.41613006591797,411,0.004556747057326005,180.1174136352539,2,mean_reverted_sma
ORCL,2006-12-06,2006-12-11,14.295767784118652,14.447675704956055,3048,0.0106260764116608,439.3973395614624,3,mean_reverted_sma
AMZN,2006-12-07,2006-12-11,1.906000018119812,1.934499979019165,22532,0.014952760035892965,579.7902897971153,2,mean_reverted_sma
BIIB,2006-12-08,2006-12-11,50.66999816894531,51.34000015258789,859,0.01322285391463085,556.2883862373352,1,mean_reverted_ibs
XOM,2006-12-08,2006-12-12,38.995079040527344,39.3824577331543,1117,0.009934040452241444,412.95845794906614,2,mean_reverted_sma
AAPL,2006-12-06,2006-12-13,2.6915764808654785,2.668205738067627,16188,-0.008682919829325009,-428.0544153236389,5,mean_reverted_sma
SLB,2006-12-11,2006-12-13,43.15692138671875,44.11961364746094,1016,0.022306787180571552,958.3287449951172,2,mean_reverted_sma
WMT,2006-12-11,2006-12-14,10.338521003723145,10.494011878967285,4245,0.01503995350864451,633.8819449939728,3,mean_reverted_sma
AMD,2006-12-11,2006-12-14,20.690000534057617,22.709999084472656,2121,0.09763163355602322,4261.764645592117,3,mean_reverted_sma
JNJ,2006-12-13,2006-12-14,37.51674270629883,37.963714599609375,1172,0.0119139312495673,503.81443976745607,1,mean_reverted_sma
LOW,2006-12-13,2006-12-14,21.767345428466797,22.415742874145508,2020,0.029787621453866153,1287.8728725967408,1,mean_reverted_sma
PG,2006-12-14,2006-12-15,36.66836166381836,37.1082763671875,1244,0.011997119135082945,526.4102634490966,1,mean_reverted_sma
GOOGL,2006-12-18,2006-12-19,11.494730949401855,11.639533042907715,3975,0.01259725818231483,549.2465818119049,1,mean_reverted_ibs
VLO,2006-12-18,2006-12-19,27.351213455200195,27.925626754760742,1670,0.02100138264437179,937.4677456359864,1,mean_reverted_ibs
SLB,2006-12-18,2006-12-19,42.61337661743164,43.071773529052734,1072,0.010757113094707949,470.88659306640625,1,mean_reverted_ibs
QCOM,2006-12-20,2006-12-21,24.505470275878906,24.652591705322266,1877,0.006003615837079979,253.9389865974426,1,mean_reverted_ibs
CAT,2006-12-13,2006-12-22,37.713043212890625,37.16106033325195,1166,-0.014636391884969902,-663.4046786056518,7,time_stop
WMT,2006-12-20,2006-12-26,10.347384452819824,10.401527404785156,4447,0.005232525399264221,213.42562518367765,3,mean_reverted_sma
LOW,2006-12-21,2006-12-26,21.53934669494629,21.802980422973633,2131,0.012239634365939223,539.068974608612,2,mean_reverted_sma
HD,2006-12-20,2006-12-27,24.15488052368164,24.42032241821289,1905,0.010989161973747219,483.34965676116946,4,mean_reverted_sma
MRK,2006-12-20,2006-12-27,21.243614196777344,21.2779598236084,2166,0.001616750639176212,51.640281850433354,4,mean_reverted_sma
INTC,2006-12-22,2006-12-27,12.00374984741211,12.195050239562988,3814,0.015936719323763837,703.5328509571075,2,mean_reverted_sma
