date,value,cash,positions,drawdown,leverage,in_protection,risk_on,regime_score,universe_size,overlay_scalar,damped_scalar,bso_scalar,m2_scalar,fomc_scalar,fed_emergency,cash_rate_daily,v_recovery_boost
2004-09-20,91937.50939914475,19574.783251127737,5,-0.14354021789637172,0.8258391284145131,True,True,0.6821972732994956,40,1.0,1.0,1.0,1.0,1.0,0,6.746031746031747e-05,0.0
2004-09-21,93084.08687130152,17048.692336178683,5,-0.1328590769954909,0.8685636920180364,True,True,0.7017824694157833,40,1.0,1.0,1.0,1.0,1.0,0,6.706349206349206e-05,0.0
2004-09-22,91767.08226641844,39369.16376360235,4,-0.1451278613502054,0.8194885545991785,True,True,0.5497457957095265,40,1.0,1.0,1.0,1.0,1.0,0,6.666666666666666e-05,0.0
2004-09-23,91371.13133898017,39371.803997203955,4,-0.1488164107491808,0.8047343570032768,True,True,0.5161859722404183,40,1.0,1.0,1.0,1.0,1.0,0,6.706349206349206e-05,0.0
2004-09-24,91297.93825827831,25186.741096510803,4,-0.1494982535613158,0.8020069857547368,True,True,0.5244618436507932,40,1.0,1.0,1.0,1.0,1.0,0,6.746031746031747e-05,0.0
2004-09-27,90612.1411549458,22690.02117725247,4,-0.15588691518078024,0.7764523392768791,True,True,0.5104362443466629,40,1.0,1.0,1.0,1.0,1.0,0,6.825396825396825e-05,0.0
2004-09-28,90835.43846026718,33827.335257107356,3,-0.15380675048293543,0.7847729980682583,True,False,0.4906816205862641,40,1.0,1.0,1.0,1.0,1.0,0,6.706349206349206e-05,0.0
2004-09-29,90735.64452096142,33829.6038363369,3,-0.15473639819768925,0.781054407209243,True,False,0.49720142114901256,40,1.0,1.0,1.0,1.0,1.0,0,6.706349206349206e-05,0.0
2004-09-30,90711.46483027194,20298.561926501814,4,-0.15496164829152564,0.7801534068338974,True,True,0.5063896012927327,40,1.0,1.0,1.0,1.0,1.0,0,6.666666666666666e-05,0.0
2004-10-01,92048.86203638646,37563.38010114313,3,-0.14250289313032158,0.8299884274787137,True,False,0.39510503056210045,40,1.0,1.0,1.0,1.0,1.0,0,6.626984126984126e-05,0.0
2004-10-04,92345.67374056896,31796.349347322328,3,-0.1397378923254127,0.8410484306983492,True,False,0.4211112366080669,40,1.0,1.0,1.0,1.0,1.0,0,6.706349206349206e-05,0.0
2004-10-05,92803.6764170638,31798.46910394548,3,-0.1354712891176767,0.8581148435292932,True,False,0.42597018136205206,40,1.0,1.0,1.0,1.0,1.0,0,6.666666666666666e-05,0.0
2004-10-06,93553.45723962695,19079.83524274201,4,-0.128486576086894,0.886053695652424,True,True,0.5144932330156633,40,1.0,1.0,1.0,1.0,1.0,0,6.666666666666666e-05,0.0
2004-10-07,93514.83409273162,33424.42337544072,3,-0.1288463766970076,0.8846144932119696,True,False,0.4435118622717691,40,1.0,1.0,1.0,1.0,1.0,0,6.626984126984126e-05,0.0
2004-10-08,92945.15727790628,35413.3898500793,3,-0.1341532996698343,0.8633868013206628,True,False,0.3894937740124012,40,1.0,1.0,1.0,1.0,1.0,0,6.626984126984126e-05,0.0
2004-10-11,92985.84894378774,33972.80725986365,3,-0.1337742294130693,0.8649030823477228,True,False,0.4263408099319591,40,1.0,1.0,1.0,1.0,1.0,0,6.626984126984126e-05,0.0
2004-10-12,92990.50754411927,33975.0855949537,3,-0.1337308314153323,0.8650766743386709,True,False,0.4108389887631214,40,1.0,1.0,1.0,1.0,1.0,0,6.706349206349206e-05,0.0
2004-10-13,92721.2852880792,27781.015698814306,3,-0.13623881794066306,0.8550447282373478,True,False,0.37216596989803846,40,1.0,1.0,1.0,1.0,1.0,0,6.706349206349206e-05,0.0
2004-10-14,93003.76731007663,50071.64620537868,2,-0.13360730777044785,0.8655707689182086,True,False,0.33839322485563567,40,1.0,1.0,1.0,1.0,1.0,0,6.785714285714286e-05,0.0
2004-10-15,92951.83142061875,27412.681003000445,3,-0.13409112553818114,0.8636354978472754,True,False,0.47760597964437335,40,1.0,1.0,1.0,1.0,1.0,0,6.825396825396825e-05,0.0
2004-10-18,92845.150191584,27414.617295547483,3,-0.13508493299251376,0.859660268029945,True,False,0.4658237444815685,40,1.0,1.0,1.0,1.0,1.0,0,7.063492063492064e-05,0.0
2004-10-19,89762.16268899472,31971.503846829142,3,-0.1638050367015706,0.7447798531937176,True,False,0.44460793024937295,40,1.0,1.0,1.0,1.0,1.0,0,7.103174603174603e-05,0.0
2004-10-20,90793.21550208464,19273.40435224292,4,-0.1542000857581797,0.7831996569672812,True,True,0.5256911978507837,40,1.0,1.0,1.0,1.0,1.0,0,7.103174603174603e-05,0.0
2004-10-21,90456.01966829704,19274.788672158695,4,-0.15734129191244023,0.7706348323502391,True,True,0.5090603309802731,40,1.0,1.0,1.0,1.0,1.0,0,7.182539682539683e-05,0.0
2004-10-22,90637.1361678172,37067.67170508276,3,-0.15565406981203553,0.7773837207518579,True,False,0.45377326512819716,40,1.0,1.0,1.0,1.0,1.0,0,7.182539682539683e-05,0.0
2004-10-25,90220.70126903057,37070.42236167357,3,-0.15953344119163979,0.7618662352334409,True,False,0.4907325609757516,40,1.0,1.0,1.0,1.0,1.0,0,7.420634920634921e-05,0.0
2004-10-26,91425.18778478888,35898.72717033807,3,-0.14831283857171804,0.8067486457131279,True,False,0.37734700124302,40,1.0,1.0,1.0,1.0,1.0,0,7.460317460317459e-05,0.0
2004-10-27,92756.80897340915,24442.19680890256,3,-0.13590789090124203,0.8563684363950319,True,False,0.372880258799102,40,1.0,1.0,1.0,1.0,1.0,0,7.460317460317459e-05,0.0
2004-10-28,92843.51455916597,24444.010575094333,3,-0.1351001700094126,0.8595993199623496,True,False,0.4165931233058476,40,1.0,1.0,1.0,1.0,1.0,0,7.420634920634921e-05,0.0
2004-10-29,92987.4135649146,24445.82447587907,3,-0.1337596539141446,0.8649613843434216,True,False,0.407978134777076,40,1.0,1.0,1.0,1.0,1.0,0,7.420634920634921e-05,0.0
2004-11-01,92845.31994770849,24447.72581778275,3,-0.13508335159995338,0.8596665936001865,True,False,0.41495616185816797,40,1.0,1.0,1.0,1.0,1.0,0,7.777777777777778e-05,0.0
2004-11-02,93343.24985289386,29529.912334116492,3,-0.13044479938241949,0.8782208024703221,True,False,0.4637870301634671,40,1.0,1.0,1.0,1.0,1.0,0,7.698412698412698e-05,0.0
