date,value,cash,compass_pos,rattle_pos,efa_value,drawdown,leverage,in_protection,risk_on
2007-07-31,179112.73542560928,19311.828949549756,3,5,47229.70928192139,-0.04391376045017221,0.8723408277408338,False,False
2007-08-01,178861.94762136694,18415.871951350095,3,5,55162.17206954956,-0.04523342724958495,0.8693279831030292,False,False
2007-08-02,178831.17658773996,12927.654784245125,3,5,60822.113384246826,-0.045642362747451745,0.8517931043200911,False,False
2007-08-03,172786.87687459344,31739.021267233235,2,2,73297.06037139893,-0.07760671044806315,0.7736614459463685,False,False
2007-08-06,175226.71344233514,10984.678254398215,2,5,78745.09499359131,-0.06481891089023634,0.728314749855484,False,False
2007-08-07,175526.47143092426,41667.15421762032,3,4,17847.93699645996,-0.06164597275832735,0.7293834103287954,False,False
2007-08-08,177861.70089695233,29353.350196639185,3,1,30714.7377243042,-0.050362895040501614,0.7122710104878973,False,False
2007-08-09,173412.2902511371,16662.678837608903,2,5,36965.93454360962,-0.07417956952094026,0.6670895677096951,False,False
2007-08-10,172069.2652097957,39581.70655401969,2,2,53255.92510986328,-0.07819582961023132,0.67011821493648,False,False
2007-08-13,172168.41339751828,38379.47404869219,2,1,69751.87377929688,-0.08118539957418938,0.6668902928740508,False,False
2007-08-14,172420.92609724688,99789.41468919642,2,2,0.0,-0.07985637250468344,0.6557299712567969,False,False
2007-08-15,170306.87302204274,99812.34249519049,2,2,0.0,-0.09123435886086172,0.6485799021704555,False,False
2007-08-16,169983.05512584784,99835.27556912093,2,2,0.0,-0.09296252745006198,0.6427920038365725,False,False
2007-08-17,172663.61756481518,51637.569484660766,2,3,0.0,-0.07458822886562948,0.6111122306657228,False,False
2007-08-20,173773.06724225671,57190.46038096967,2,2,0.0,-0.07258613653192533,0.6131293081045729,False,False
2007-08-21,178170.07414328394,57203.60057008101,2,2,0.0,-0.04921805691762905,0.6271158942264845,False,False
2007-08-22,180939.31965464208,37638.631781489625,3,0,16088.096656799316,-0.034336396332405185,0.6149823271995112,False,False
2007-08-23,180490.1918684975,26379.284420186195,3,0,27427.523406982422,-0.03681215637415467,0.6536731116394314,False,False
2007-08-24,182685.1340866547,18475.87506842435,3,0,35814.79251098633,-0.02508445639490833,0.6760907721571889,False,False
2007-08-27,183426.65226714133,12940.660358098972,3,0,40974.41665649414,-0.021117456020645523,0.688234923910257,False,False
2007-08-28,176909.2125807953,80816.57652875608,3,0,0.0,-0.05277226697851257,0.6569411357787797,False,False
2007-08-29,180513.2867267694,56598.74754682543,3,0,24236.397552490234,-0.036741848684880826,0.6282049866851291,False,False
2007-08-30,180296.31323465606,39633.04264590603,3,0,41046.4669342041,-0.037870089978578984,0.632585813234705,False,False
2007-08-31,183357.03247304505,30869.552525151914,3,0,54989.70542907715,-0.02109901964358814,0.6828862111209981,False,False
2007-09-04,186493.05127007054,21619.99485767533,3,0,64751.18856048584,-0.0047676708603307996,0.6986804104216728,False,False
2007-09-05,183648.79717438217,15159.75833265284,3,0,70275.41529464722,-0.01993554688291364,0.7003632970926015,False,False
2007-09-06,183587.64904373715,22474.68415091498,3,0,80137.21628952026,-0.02022862092938462,0.7208325970707661,False,False
2007-09-07,180772.37875982322,15762.000638708043,3,0,85882.49784851074,-0.035287359052685305,0.8103945215231828,False,False
2007-09-10,181836.78265715565,18796.809440124154,3,0,93572.57431030273,-0.029292862468754035,0.8135853624005882,False,False
2007-09-11,184184.21461042858,13196.527840514966,3,0,100793.1743927002,-0.017074717232990613,0.7962544363295836,False,False
2007-09-12,182886.5098580985,17702.468971038637,3,0,108465.52423095703,-0.02237371175539243,0.8402686134335005,False,False
2007-09-13,183554.36762152906,11496.431289524171,4,0,113795.75319290161,-0.020416076533561058,0.8844452527361992,False,True
2007-09-14,182504.4923987862,8076.22567945749,4,0,116553.83326721191,-0.026030128015109993,0.8879936758155618,False,True
2007-09-17,180609.78125185997,18343.193305245437,3,0,122761.39209365845,-0.03602093516240234,0.9379430868936053,False,False
2007-09-18,186865.66908931508,60935.46962067988,4,0,26110.894207000732,-0.0026891652112330917,0.7959385906888,False,False
2007-09-19,186843.5838588722,32787.49738694302,4,0,40364.913513183594,-0.0012787611397555914,0.7946053483039429,False,False
2007-09-20,186885.43170503867,18409.76649887584,4,0,48176.73303222656,-0.002566898618508798,0.7945380950116604,False,False
