date,symbol,action,shares,price,reason,total_score,value_score,quality_score,momentum_score,pnl_pct
2019-06-07 00:00:00-04:00,DIS,SELL_REDUCE,1471,133.2357177734375,REBALANCE_REDUCE,,,,,
2019-06-07 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,5487,39.12772750854492,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-06-07 00:00:00-04:00,DIS,BUY_FULL_DEPLOY,1611,133.2357177734375,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-06-14 00:00:00-04:00,VZ,SELL_REDUCE,10745,39.83864212036133,REBALANCE_REDUCE,,,,,
2019-06-14 00:00:00-04:00,DIS,SELL_REDUCE,2755,136.72007751464844,REBALANCE_REDUCE,,,,,
2019-06-14 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,9850,39.83864212036133,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-06-14 00:00:00-04:00,DIS,BUY_FULL_DEPLOY,2870,136.72007751464844,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-06-21 00:00:00-04:00,VZ,SELL_REDUCE,9978,39.490028381347656,REBALANCE_REDUCE,,,,,
2019-06-21 00:00:00-04:00,DIS,SELL_REDUCE,2910,135.34951782226562,REBALANCE_REDUCE,,,,,
2019-06-21 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,9955,39.490028381347656,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-06-21 00:00:00-04:00,DIS,BUY_FULL_DEPLOY,2904,135.34951782226562,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-06-28 00:00:00-04:00,DIS,SELL_REDUCE,2906,134.780029296875,REBALANCE_REDUCE,,,,,
2019-06-28 00:00:00-04:00,VZ,SELL_REDUCE,9614,39.052528381347656,REBALANCE_REDUCE,,,,,
2019-06-28 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,9816,39.052528381347656,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-06-28 00:00:00-04:00,DIS,BUY_FULL_DEPLOY,2844,134.780029296875,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-07-05 00:00:00-04:00,DIS,SELL_REDUCE,2867,138.34373474121094,REBALANCE_REDUCE,,,,,
2019-07-05 00:00:00-04:00,VZ,SELL_REDUCE,10293,39.8591423034668,REBALANCE_REDUCE,,,,,
2019-07-05 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,10078,39.8591423034668,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-07-05 00:00:00-04:00,DIS,BUY_FULL_DEPLOY,2903,138.34373474121094,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-07-12 00:00:00-04:00,DIS,SELL_REDUCE,2927,140.70367431640625,REBALANCE_REDUCE,,,,,
2019-07-12 00:00:00-04:00,VZ,SELL_REDUCE,10141,39.50503921508789,REBALANCE_REDUCE,,,,,
2019-07-12 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,10259,39.50503921508789,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-07-12 00:00:00-04:00,DIS,BUY_FULL_DEPLOY,2880,140.70367431640625,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-07-19 00:00:00-04:00,VZ,SELL_REDUCE,13138,39.09058380126953,REBALANCE_REDUCE,,,,,
2019-07-19 00:00:00-04:00,DIS,SELL_REDUCE,2612,135.81866455078125,REBALANCE_REDUCE,,,,,
2019-07-19 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,11050,39.09058380126953,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-07-19 00:00:00-04:00,DIS,BUY_FULL_DEPLOY,3180,135.81866455078125,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-07-26 00:00:00-04:00,VZ,SELL_REDUCE,8925,39.42905807495117,REBALANCE_REDUCE,,,,,
2019-07-26 00:00:00-04:00,DIS,SELL_REDUCE,2511,140.4803009033203,REBALANCE_REDUCE,,,,,
2019-07-26 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,9019,39.42905807495117,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-07-26 00:00:00-04:00,DIS,BUY_FULL_DEPLOY,2531,140.4803009033203,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-08-02 00:00:00-04:00,VZ,SELL_REDUCE,9073,38.399810791015625,REBALANCE_REDUCE,,,,,
2019-08-02 00:00:00-04:00,DIS,SELL_REDUCE,2458,137.62506103515625,REBALANCE_REDUCE,,,,,
2019-08-02 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,8940,38.399810791015625,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-08-02 00:00:00-04:00,DIS,BUY_FULL_DEPLOY,2494,137.62506103515625,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-08-09 00:00:00-04:00,VZ,SELL_REDUCE,8412,38.531063079833984,REBALANCE_REDUCE,,,,,
2019-08-09 00:00:00-04:00,DIS,SELL_REDUCE,2842,134.52700805664062,REBALANCE_REDUCE,,,,,
2019-08-09 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,9138,38.531063079833984,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-08-09 00:00:00-04:00,DIS,BUY_FULL_DEPLOY,2617,134.52700805664062,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-08-16 00:00:00-04:00,DIS,SELL_STOP,5037,131.30270385742188,STOP_LOSS,,,,,-0.03670537350506789
2019-08-16 00:00:00-04:00,DIS,BUY,2423,131.30270385742188,CONSOLIDATED_STRATEGY,54.80165807154937,72.0,0.0,75.20663228619749,
2019-08-16 00:00:00-04:00,VZ,SELL_REDUCE,9196,39.13202667236328,REBALANCE_REDUCE,,,,,
2019-08-16 00:00:00-04:00,BRK-B,BUY,2398,199.72000122070312,CONSOLIDATED_STRATEGY,52.31430078653587,80.0,0.0,49.25720314614347,
2019-08-16 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,2094,39.13202667236328,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-08-16 00:00:00-04:00,DIS,BUY_FULL_DEPLOY,624,131.30270385742188,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-08-16 00:00:00-04:00,BRK-B,BUY_FULL_DEPLOY,410,199.72000122070312,FULL_CAPITAL_DEPLOYMENT,,,,,
