date,value,cash,positions,leverage,regime_score,regime_label,drawdown
2014-08-19,131798.34155094973,2093.095662471069,12,1.0,0.6686057057252679,STRONG_BULL,-0.004983741831579554
2014-08-20,132650.07921906523,2093.434544625945,12,1.0,0.7227035249403205,STRONG_BULL,0.0
2014-08-21,132652.19435987712,2093.773481647456,12,1.0,0.8371451600982713,STRONG_BULL,0.0
2014-08-22,132364.76439034595,15248.27192234202,12,1.0,0.830749246387983,STRONG_BULL,-0.002166793929932167
2014-08-25,132851.59293864347,15250.740690177066,12,1.0,0.8613272495257625,STRONG_BULL,0.0
2014-08-26,133157.9673070159,15253.20985771738,12,1.0,0.8477355758980348,STRONG_BULL,0.0
2014-08-27,132724.27984343655,15303.399227748281,12,1.0,0.8471134412481135,STRONG_BULL,-0.003256939651079367
2014-08-28,131963.91747143771,12181.315307547437,12,1.0,0.84201660796396,STRONG_BULL,-0.008967167791207913
2014-08-29,133109.73749918785,12183.287520501992,12,1.0,0.8483180692534626,STRONG_BULL,-0.0003621999404425956
2014-09-02,132794.93112347755,8853.372681302557,12,1.0,0.8543762529703924,STRONG_BULL,-0.0027263572047575408
2014-09-03,132258.6008462276,3827.6914004303435,12,1.0,0.8681791010126048,STRONG_BULL,-0.006754131795318493
2014-09-04,132613.5612916281,3828.315678670652,12,1.0,0.855353195691391,STRONG_BULL,-0.004088422393326145
2014-09-05,134423.90853204386,3828.9400587277682,12,1.0,0.8677889384318974,STRONG_BULL,0.0
2014-09-08,134183.5259492034,11205.17040168757,12,1.0,0.8580604137314105,STRONG_BULL,-0.0017882427721787996
2014-09-09,132247.13035161237,13403.91638582467,12,1.0,0.7866601678613637,STRONG_BULL,-0.016193385568108138
2014-09-10,133211.7110379367,13406.102500759025,12,1.0,0.8010691170990498,STRONG_BULL,-0.009017722422631316
2014-09-11,133899.04389492294,18967.380408625257,12,0.7710854764368944,0.7857497740250263,STRONG_BULL,-0.0039045482522612495
2014-09-12,133511.56988479284,13870.781374467795,12,1.0,0.7241021094733393,STRONG_BULL,-0.006787026632494731
2014-09-15,132758.85969365732,13873.043632858631,12,1.0,0.7390287609753375,STRONG_BULL,-0.012386552783425665
2014-09-16,134904.81038952654,11841.747820473542,12,1.0,0.7321815395791854,STRONG_BULL,0.0
2014-09-17,134820.85953318575,5652.551348603998,12,1.0,0.716139686824038,STRONG_BULL,-0.0006222969818376821
2014-09-18,134874.65380983774,9804.440635598927,12,1.0,0.7327890938586739,STRONG_BULL,-0.00022353969144412237
2014-09-19,134199.23495962995,9806.03969317878,12,1.0,0.7390591935269366,STRONG_BULL,-0.005230172503554916
2014-09-22,132547.19436903266,43788.57731234274,8,1.0,0.6336689163946143,MILD,-0.01747614494758531
2014-09-23,132837.0885585839,26614.635158948993,8,1.0,0.6213185682265971,MILD,-0.015327265387885446
2014-09-24,132075.50361585297,21540.109776430545,8,1.0,0.6261879512955757,MILD,-0.020972615917135777
2014-09-25,131228.18115416294,28175.1409256402,5,1.0,0.33879897901662853,BEAR,-0.0272535073045033
