symbol,entry_date,exit_date,pnl,return
ABT,2011-10-07,2011-10-10,677.7330892777198,0.02109839905150756
BRK-B,2011-10-07,2011-10-10,1079.2635520603615,0.03359837886532064
AAPL,2011-10-07,2011-10-10,1648.396829990346,0.05131597477620709
COP,2011-10-07,2011-10-10,1395.7854926208622,0.04345197213995336
PEP,2011-10-07,2011-10-10,446.66656627608114,0.01390510454241328
MSFT,2011-10-10,2011-10-12,22.990841505670474,0.0006942044851020474
MRK,2011-10-10,2011-10-12,223.5136667339418,0.0067489565308010546
GE,2011-10-10,2011-10-12,532.9321606537846,0.01609179446910345
V,2011-10-10,2011-10-12,710.8139346372742,0.021462903886163735
AMZN,2011-10-10,2011-10-12,783.14364113104,0.023646886870940638
PFE,2011-10-12,2011-10-14,388.7674095962927,0.011588181394411135
AMZN,2011-10-12,2011-10-14,1399.6884430131818,0.041721201862421536
BRK-B,2011-10-12,2011-10-14,17.51340685765745,0.0005220307322350041
BA,2011-10-12,2011-10-14,-224.91455636807106,-0.006704138806653637
INTC,2011-10-12,2011-10-14,549.2971943194996,0.016373171644777095
CSCO,2011-10-14,2011-10-17,-738.0853466626595,-0.02173934976829044
IBM,2011-10-14,2011-10-17,-702.4077457384633,-0.02068851215324824
PEP,2011-10-14,2011-10-17,-191.75773924713815,-0.005647976325663951
GILD,2011-10-14,2011-10-17,-481.0855039809913,-0.014169751623963731
DIS,2011-10-14,2011-10-17,-1064.9125341225956,-0.031365622087750955
MRK,2011-10-17,2011-10-19,235.66449861894668,0.007067194517015361
JPM,2011-10-17,2011-10-19,1298.3198394099634,0.03893449757677111
CAT,2011-10-17,2011-10-19,833.8887332326891,0.025006965061937194
COP,2011-10-17,2011-10-19,594.2567622974009,0.01782079251146845
PEP,2011-10-17,2011-10-19,117.70711401206312,0.0035298446547301697
PG,2011-10-19,2011-10-21,790.4790027582902,0.02329711629936839
WFC,2011-10-19,2011-10-21,1520.6721993688925,0.04481748023450818
GE,2011-10-19,2011-10-21,-431.8830900519306,-0.01272852351746404
BAC,2011-10-19,2011-10-21,311.2962770854335,0.009174570792536705
BA,2011-10-19,2011-10-21,795.0415099768016,0.023431583199710424
SLB,2011-10-21,2011-10-24,1279.143238902397,0.037081403034943006
C,2011-10-21,2011-10-24,1478.4729374815831,0.0428598214833655
MA,2011-10-21,2011-10-24,753.1522261090012,0.02183331810984414
ORCL,2011-10-21,2011-10-24,804.1577689357988,0.023311930538112504
MS,2011-10-21,2011-10-24,260.6391066516284,0.007555732201430172
MRK,2011-10-24,2011-10-26,8.806106823035382,0.0002490170647844353
AAPL,2011-10-24,2011-10-26,-453.47757211033723,-0.01282333455881978
HD,2011-10-24,2011-10-26,-145.8564777957304,-0.004124495956088064
AMZN,2011-10-24,2011-10-26,-5838.595483709963,-0.16510246117091346
PG,2011-10-24,2011-10-26,-228.0185443596282,-0.006447855990609306
MU,2011-10-26,2011-10-28,2549.307051193393,0.07476686426693278
GS,2011-10-26,2011-10-28,3055.546815588202,0.08961402037286842
XOM,2011-10-26,2011-10-28,171.6843166304146,0.005035210643715254
IBM,2011-10-26,2011-10-28,1026.4853428022882,0.030105079049370483
PEP,2011-10-26,2011-10-28,653.4911370300644,0.01916578982476751
WMT,2011-10-28,2011-10-31,-269.6917929439189,-0.007594420785627228
MCD,2011-10-28,2011-10-31,-168.0609993617849,-0.004732535361474012
COP,2011-10-28,2011-10-31,-1035.6387922942763,-0.029163203984620464
KO,2011-10-28,2011-10-31,-315.8632607185026,-0.008894592180324179
GE,2011-10-28,2011-10-31,-1112.2444665525516,-0.03132039133738878
SLB,2011-10-31,2011-11-02,-348.03786337705753,-0.009955499440979159
WFC,2011-10-31,2011-11-02,-618.2139509957756,-0.01768379044689214
XOM,2011-10-31,2011-11-02,-323.1048242135282,-0.00924229871320228
BAC,2011-10-31,2011-11-02,-569.5994021684129,-0.016293188548069635
PFE,2011-10-31,2011-11-02,486.6106158221439,0.013919323796513176
JPM,2011-11-02,2011-11-04,338.839863383339,0.009765951149704306
JNJ,2011-11-02,2011-11-04,260.86499320831643,0.0075185804730956325
INTC,2011-11-02,2011-11-04,144.6487844953585,0.00416902825169548
CAT,2011-11-02,2011-11-04,664.3043527232663,0.01914640087636854
ABT,2011-11-02,2011-11-04,293.42630820038823,0.0084570539112783
BA,2011-11-04,2011-11-07,260.12454847835227,0.007428278721838029
MRK,2011-11-04,2011-11-07,307.0948532234592,0.008769592017093444
ABT,2011-11-04,2011-11-07,195.1669022454711,0.005573307692940504
QCOM,2011-11-04,2011-11-07,259.3999428316472,0.007407586431400124
CAT,2011-11-04,2011-11-07,-271.18692000060577,-0.0077441826973471345
COP,2011-11-07,2011-11-09,-669.0613578672603,-0.019029214363170833
GS,2011-11-07,2011-11-09,-1965.3874044974243,-0.05589887651870254
WMT,2011-11-07,2011-11-09,64.32865460446826,0.0018296135978692484
BRK-B,2011-11-07,2011-11-09,-775.7008264362173,-0.022062217664156423
ABT,2011-11-07,2011-11-09,-454.16413810150266,-0.012917181120050336
MU,2011-11-09,2011-11-11,508.3392101959389,0.014761630011709962
GE,2011-11-09,2011-11-11,977.1022946636325,0.02837401142409962
MS,2011-11-09,2011-11-11,1307.960323314291,0.037981776686712786
ORCL,2011-11-09,2011-11-11,848.9484122881593,0.024652558980048027
