date,portfolio_value,cash,n_positions,leverage,drawdown,regime_score,crash_active,max_positions
2016-05-17,502167.4519693164,401541.49361818115,1,1.0,-0.009945366297465723,1.0,False,5
2016-05-18,501573.6348221912,401599.17537242314,1,1.0,-0.011116264865272332,1.0,False,5
2016-05-19,499982.2588449458,499982.2588449458,0,1.0,-0.014241896314484224,1.0,False,5
2016-05-20,500054.0816932402,500054.0816932402,0,1.0,-0.01414038655575956,1.0,False,5
2016-05-23,500125.9148589438,500125.9148589438,0,1.0,-0.013998767039860024,1.0,False,5
2016-05-24,500197.7583435386,500197.7583435386,0,1.0,-0.013857127180204596,1.0,False,5
2016-05-25,500269.61214850703,500269.61214850703,0,1.0,-0.01371546697387092,1.0,False,5
2016-05-26,500341.4762753315,500341.4762753315,0,1.0,-0.013573786417936181,1.0,False,5
2016-05-27,500413.35072549485,500413.35072549485,0,1.0,-0.01343208550947722,1.0,False,5
2016-05-31,500485.23550048005,500485.23550048005,0,1.0,-0.013290364245570303,1.0,False,5
2016-06-01,500554.747338744,500554.747338744,0,1.0,-0.013148622623291237,1.0,False,5
2016-06-02,500624.26883142994,500624.26883142994,0,1.0,-0.01301155993198893,1.0,False,5
2016-06-03,500693.79997987876,500693.79997987876,0,1.0,-0.012874478204201683,1.0,False,5
2016-06-06,500763.3407854315,500763.3407854315,0,1.0,-0.012737377437285582,1.0,False,5
2016-06-07,500832.8912494295,500832.8912494295,0,1.0,-0.012600257628596363,1.0,False,5
2016-06-08,500902.45137321413,500902.45137321413,0,1.0,-0.012463118775489194,1.0,False,5
2016-06-09,500972.02115812706,500972.02115812706,0,1.0,-0.012325960875319125,1.0,False,5
2016-06-10,501041.6006055101,501041.6006055101,0,1.0,-0.012188783925440747,1.0,False,5
2016-06-13,501111.18971670535,501111.18971670535,0,1.0,-0.012051587923208193,1.0,False,5
2016-06-14,501180.7884930549,501180.7884930549,0,1.0,-0.011914372865975251,1.0,False,5
2016-06-15,501250.3969359012,501250.3969359012,0,1.0,-0.01177713875109548,1.0,False,5
2016-06-16,501320.01504658675,501320.01504658675,0,1.0,-0.011639885575921981,1.0,False,5
2016-06-17,501389.6428264543,501389.6428264543,0,1.0,-0.011502613337807508,1.0,False,5
2016-06-20,501459.2802768469,501459.2802768469,0,1.0,-0.011365322034104472,1.0,False,5
2016-06-21,501528.92739910755,501528.92739910755,0,1.0,-0.01122801166216471,1.0,False,5
2016-06-22,501598.5841945796,501598.5841945796,0,1.0,-0.011090682219340058,1.0,False,5
2016-06-23,501668.25066460663,501668.25066460663,0,1.0,-0.010953333702981667,1.0,False,5
2016-06-24,501737.9268105323,501737.9268105323,0,1.0,-0.010815966110440453,1.0,False,5
