date,portfolio_value,cash,n_positions,leverage,drawdown,regime_score,crash_active,max_positions,rebalance_today,n_trend_holdings
2023-06-20,693433.8933605084,138.14336050840146,1,1.0,-0.23780949698418122,1.0,False,4,False,1
2023-06-21,692431.1200383813,138.16885124754288,1,1.0,-0.23891169914331442,1.0,False,4,False,1
2023-06-22,685565.6867420761,47.11751295009822,2,1.0,-0.24645786271546635,1.0,False,4,True,2
2023-06-23,687456.495790383,47.12620725308306,2,1.0,-0.2443795580574377,1.0,False,4,False,2
2023-06-26,688652.2629549182,47.13490316037381,2,1.0,-0.24306522598104552,1.0,False,4,False,2
2023-06-27,685489.32193014,47.1436006722665,2,1.0,-0.24654178477575445,1.0,False,4,False,2
2023-06-28,683908.3381899868,47.15229978905722,2,1.0,-0.24827952913641585,1.0,False,4,False,2
2023-06-29,683173.8393242415,137.7234489973702,1,1.0,-0.24908685254451482,1.0,False,4,True,1
2023-06-30,687725.1553411346,137.74886225283996,1,1.0,-0.24408427825558973,1.0,False,4,False,1
2023-07-03,688496.5689884496,137.77428019766043,1,1.0,-0.24323637598322412,1.0,False,4,False,1
2023-07-05,686066.6655780768,137.7997028326969,1,1.0,-0.24590721366798216,1.0,False,4,False,1
2023-07-06,684022.4857136549,137.82513015881486,1,1.0,-0.24815408183360818,1.0,False,4,False,1
2023-07-07,689152.3282080509,137.8505621768799,1,1.0,-0.24251559573023368,1.0,False,4,True,1
2023-07-10,689692.3312906359,137.87599888775776,1,1.0,-0.24192204927016492,1.0,False,4,False,1
2023-07-11,692276.5396696625,137.90144029231442,1,1.0,-0.23908160669592496,1.0,False,4,False,1
2023-07-12,701649.1057193992,137.926886391416,1,1.0,-0.22877971467799296,1.0,False,4,False,1
2023-07-13,702150.5011500522,137.95233718592868,1,1.0,-0.2282286039670441,1.0,False,4,False,1
2023-07-14,699913.459543165,137.97779267671893,1,1.0,-0.23068745685870684,1.0,False,4,True,1
2023-07-17,700414.9138363608,138.00325286465332,1,1.0,-0.23013628144876944,1.0,False,4,False,1
2023-07-18,708437.5063636246,138.0287177505986,1,1.0,-0.22131821802044502,1.0,False,4,False,1
2023-07-19,708553.2371249575,138.0541873354216,1,1.0,-0.22119101211415784,1.0,False,4,False,1
2023-07-20,704966.2808487538,138.07966161998945,1,1.0,-0.22513362890675506,1.0,False,4,False,1
2023-07-21,702806.3228910934,53.738395549017,2,1.0,-0.22750773962073578,1.0,False,4,True,2
2023-07-24,699799.3831916284,53.748311562481405,2,1.0,-0.2308128272389918,1.0,False,4,False,2
2023-07-25,703695.3159228872,53.758229405686386,2,1.0,-0.22653059779458742,1.0,False,4,False,2
2023-07-26,707127.63330716,53.76814907896958,2,1.0,-0.2227579529420178,1.0,False,4,False,2
2023-07-27,696019.2542973893,53.778070582668676,2,1.0,-0.23496777045856773,1.0,False,4,False,2
2023-07-28,701573.878860006,53.78799391712143,2,1.0,-0.22886238350793228,1.0,False,4,True,2
2023-07-31,703464.1901386261,53.797919082665665,2,1.0,-0.22678464059738102,1.0,False,4,False,2
2023-08-01,696174.0178447464,53.8084865310569,2,1.0,-0.2347976622202186,1.0,False,4,False,2
2023-08-02,692855.7104821416,53.81905605519693,2,1.0,-0.23844499252325022,1.0,False,4,False,2
2023-08-03,692625.0569836125,53.82962765549349,2,1.0,-0.2386985162055987,1.0,False,4,False,2
2023-08-04,695132.2929372332,53.84020133235439,2,1.0,-0.23594267816592465,1.0,False,4,True,2
2023-08-07,693550.9543995227,53.850777086187534,2,1.0,-0.2376808125042046,1.0,False,4,False,2
2023-08-08,689153.882289976,53.861354917400895,2,1.0,-0.24251387122807164,1.0,False,4,False,2
2023-08-09,685876.0145892453,53.87193482640253,2,1.0,-0.2461167521212142,1.0,False,4,False,2
2023-08-10,685142.7894076827,53.882516813600574,2,1.0,-0.24692267940200321,1.0,False,4,False,2
2023-08-11,685142.6599313237,53.89310087940325,2,1.0,-0.2469228217187259,1.0,False,4,True,2
2023-08-14,683059.4373631717,53.90368702421885,2,1.0,-0.249212603819455,1.0,False,4,False,2
2023-08-15,681245.63779362,53.914275248455745,2,1.0,-0.2512062485949963,1.0,False,4,False,2
2023-08-16,677311.2005995003,53.924865552522405,2,1.0,-0.25553080037215065,1.0,False,4,False,2
2023-08-17,676270.0148112694,53.93545793682736,2,1.0,-0.25667522373826435,1.0,False,4,False,2
2023-08-18,676260.8824581024,11.824406039435416,1,1.0,-0.25654737989614435,1.0,False,4,True,1
2023-08-21,674580.7289427409,11.826728690621733,1,1.0,-0.2585319997084168,1.0,False,4,False,1
2023-08-22,674860.7775762732,11.829051798043105,1,1.0,-0.25822418317622553,1.0,False,4,False,1
2023-08-23,676260.8894274248,11.83137536178915,1,1.0,-0.25668524485030997,1.0,False,4,False,1
2023-08-24,676820.9233600264,11.8336993819495,1,1.0,-0.2560696813997446,1.0,False,4,False,1
2023-08-25,683541.4270120178,11.836023858613812,1,1.0,-0.24868281396221384,1.0,False,4,True,1
2023-08-28,682421.3661197879,11.838348791871754,1,1.0,-0.2499139332004791,1.0,False,4,False,1
2023-08-29,684941.5411899289,11.840674181813014,1,1.0,-0.24714387307933397,1.0,False,4,False,1
2023-08-30,685781.68244705,11.8430000285273,1,1.0,-0.24622042858565182,1.0,False,4,False,1
2023-08-31,688581.7818039933,11.845326332104332,1,1.0,-0.2431426886080006,1.0,False,4,False,1
2023-09-01,696702.3950704657,11.847737702107652,1,1.0,-0.23421688539549684,1.0,False,4,True,1
2023-09-05,700062.587133816,11.85014956299701,1,1.0,-0.2305235173653619,1.0,False,4,False,1
2023-09-06,701742.7453841805,11.852561914872336,1,1.0,-0.2286767649626523,1.0,False,4,False,1
2023-09-07,700342.6992817037,11.854974757833578,1,1.0,-0.2302156310217005,1.0,False,4,False,1
2023-09-08,701742.7502103576,11.857388091980708,1,1.0,-0.22867675965902082,1.0,False,4,False,1
2023-09-11,705943.0201946787,11.859801917413717,1,1.0,-0.22406001675087528,1.0,False,4,True,1
2023-09-12,708463.2563660145,11.86221623423262,1,1.0,-0.22128988947015474,1.0,False,4,False,1
2023-09-13,710703.385215149,11.864631042537445,1,1.0,-0.21882764323000356,1.0,False,4,False,1
2023-09-14,716583.8720512253,11.867046342428248,1,1.0,-0.2123640835066651,1.0,False,4,False,1
2023-09-15,714903.7796412722,11.869462134005099,1,1.0,-0.21421076354171317,1.0,False,4,False,1
2023-09-18,714623.6747348626,11.871878417368093,1,1.0,-0.21451864192749603,1.0,False,4,True,1
2023-09-19,715183.7697724876,11.874295192617343,1,1.0,-0.21390301131314837,1.0,False,4,False,1
2023-09-20,709303.3487812465,11.876712459852982,1,1.0,-0.22036649866396388,1.0,False,4,False,1
2023-09-21,707063.2247646797,11.879130219175167,1,1.0,-0.22282873959346097,1.0,False,4,False,1
2023-09-22,707623.2587915127,11.88154847068407,1,1.0,-0.22221317603936006,1.0,False,4,False,1
2023-09-25,704263.0105464992,11.883967214479888,1,1.0,-0.22590660582286717,1.0,False,4,True,1
2023-09-26,703422.9350467289,11.886386450662837,1,1.0,-0.2268299780401473,1.0,False,4,False,1
2023-09-27,707343.2197387965,11.88880617933315,1,1.0,-0.22252098204288567,1.0,False,4,False,1
2023-09-28,706503.1442400115,11.891226400591085,1,1.0,-0.22344435425908327,1.0,False,4,False,1
2023-09-29,698942.5674142044,11.89364711453692,1,1.0,-0.23175459135781443,1.0,False,4,False,1
2023-10-02,693622.2390477525,11.89606832127095,1,1.0,-0.23760245074582034,1.0,False,4,True,1
2023-10-03,690541.9761038515,11.898490020893496,1,1.0,-0.24098813360870797,1.0,False,4,False,1
2023-10-04,671220.5524625065,11.900912213504892,1,1.0,-0.26222535072026115,1.0,False,4,False,1
2023-10-05,667300.2726128533,11.903334899205499,1,1.0,-0.2665343413960478,1.0,False,4,False,1
2023-10-06,669820.5087930512,11.905758078095694,1,1.0,-0.2637642141055885,1.0,False,4,False,1
2023-10-09,683821.5454803343,11.908181750275878,1,1.0,-0.2483749207793805,1.0,False,4,True,1
